date,Indianapolis Colts,New England Patriots
2015-01-19 01:10:18.012,11.11111,89.28571
2015-01-19 01:10:33.802,11.11111,89.28571
2015-01-19 01:10:49.785,11.11111,89.28571
2015-01-19 01:11:05.504,11.11111,90.09009
2015-01-19 01:11:21.713,10.14616,90.0443
2015-01-19 01:11:37.488,9.090909,88.5405
2015-01-19 01:11:53.341,9.090909,90.76742
2015-01-19 01:12:09.465,9.090909,91.92545
2015-01-19 01:12:25.334,9.090909,91.74312
2015-01-19 01:12:41.340,9.090909,90.90909
2015-01-19 01:12:57.166,9.090909,90.09009
2015-01-19 01:13:13.151,9.090909,90.16346
2015-01-19 01:13:28.916,9.090909,89.60224
2015-01-19 01:13:45.119,9.090909,90.07785
2015-01-19 01:14:00.958,9.090909,89.28571
2015-01-19 01:14:16.787,9.090909,89.86041
2015-01-19 01:14:33.001,10.41667,89.28571
2015-01-19 01:14:48.761,10.41667,89.28571
2015-01-19 01:15:10.474,10.41667,89.28571
2015-01-19 01:15:26.365,10.41667,90.09009
2015-01-19 01:15:42.082,10.41667,90.09009
2015-01-19 01:15:57.910,10.41667,90.05146
2015-01-19 01:16:13.716,10.41667,90.0703
2015-01-19 01:16:29.469,10.41667,90.09009
2015-01-19 01:16:45.914,10.41667,90.06131
2015-01-19 01:17:01.821,10,90.87318
2015-01-19 01:17:17.498,10,89.28571
2015-01-19 01:17:33.284,10,89.28571
2015-01-19 01:17:49.117,10,90.90909
2015-01-19 01:18:05.006,8.333333,91.73735
2015-01-19 01:18:21.384,8.901774,91.15508
2015-01-19 01:18:38.268,8.901774,90.09009
2015-01-19 01:18:54.433,9.090909,90.90909
2015-01-19 01:19:11.448,8.369095,91.59536
2015-01-19 01:19:27.527,8.369095,90.90909
2015-01-19 01:19:43.726,8.333333,91.74312
2015-01-19 01:19:59.796,8.8086,91.74312
2015-01-19 01:20:15.552,9.090909,90.82075
2015-01-19 01:20:32.317,8.333333,91.74312
2015-01-19 01:20:48.334,8.333333,91.74312
2015-01-19 01:21:04.148,7.407407,92.59259
2015-01-19 01:21:19.977,6.939547,92.9835
2015-01-19 01:21:35.793,6.939547,92.59259
2015-01-19 01:21:51.634,6.939547,92.59259
2015-01-19 01:22:08.169,7.521976,92.48753
2015-01-19 01:22:23.922,7.521976,91.92564
2015-01-19 01:22:39.773,9.090909,91.25589
2015-01-19 01:22:55.544,9.090909,90.90909
2015-01-19 01:23:11.925,9.090909,90.90909
2015-01-19 01:23:27.919,9.090909,91.74312
2015-01-19 01:23:43.740,9.090909,91.74312
2015-01-19 01:23:59.479,8.333333,90.89385
2015-01-19 01:24:15.886,8.333333,90.64993
2015-01-19 01:24:33.385,8.333333,90.1007
2015-01-19 01:24:49.200,8.333333,90.14702
2015-01-19 01:25:04.970,9.52381,90.09009
2015-01-19 01:25:20.664,9.902951,90.19238
2015-01-19 01:25:36.754,10,90.09009
2015-01-19 01:25:53.133,10.77239,89.28571
2015-01-19 01:26:09.020,10.6383,89.28571
2015-01-19 01:26:24.757,10.6383,89.28571
2015-01-19 01:26:40.701,10.84641,89.28571
2015-01-19 01:26:56.688,10.86957,89.28571
2015-01-19 01:27:12.536,10.86957,89.52574
2015-01-19 01:27:28.742,10.86957,89.56895
2015-01-19 01:27:44.517,10.97654,89.81157
2015-01-19 01:28:00.276,10,89.28571
2015-01-19 01:28:16.264,10,90.09009
2015-01-19 01:28:32.326,10.60054,90.09009
2015-01-19 01:28:48.087,10.38156,90.08999
2015-01-19 01:29:04.296,10.54694,89.28571
2015-01-19 01:29:20.699,10.54694,89.28571
2015-01-19 01:29:36.865,10.22674,89.28571
2015-01-19 01:29:52.777,10.22674,89.37093
2015-01-19 01:30:08.665,10.22674,89.28571
2015-01-19 01:30:24.921,10.41667,89.28571
