date,Draw,France,Scotland
2015-02-07 17:51:33.090,2.777778,76.69147,20.93881
2015-02-07 17:51:48.895,2.777778,76.90797,20.97548
2015-02-07 17:52:04.642,2.631579,76.92308,21.2766
2015-02-07 17:52:20.429,2.631579,76.33588,20.96918
2015-02-07 17:52:36.047,2.777778,76.33588,21.13936
2015-02-07 17:52:51.822,2.777778,76.54256,21.2766
2015-02-07 17:53:07.469,2.777778,76.90235,20.83333
2015-02-07 17:53:24.248,2.713178,76.73267,20.49012
2015-02-07 17:53:40.050,2.777778,76.34362,21.2766
2015-02-07 17:53:55.822,2.777778,76.92308,21.11082
2015-02-07 17:54:11.494,2.777778,76.92308,20.88524
2015-02-07 17:54:27.286,2.777778,76.33588,20.88524
2015-02-07 17:54:43.157,2.777778,76.91501,20.83333
2015-02-07 17:55:04.773,2.631579,76.92308,20.83333
2015-02-07 17:55:21.244,2.631579,76.90838,20.56413
2015-02-07 17:55:37.135,2.631579,76.91695,20.56146
2015-02-07 17:55:53.178,2.631579,76.92308,20.83333
2015-02-07 17:56:09.265,2.631579,76.92308,20.6767
2015-02-07 17:56:25.039,2.631579,76.92308,21.17115
2015-02-07 17:56:40.874,2.716975,76.92308,21.13322
2015-02-07 17:56:56.720,2.716975,76.92308,21.2766
2015-02-07 17:57:12.554,2.777778,76.91925,21.2766
2015-02-07 17:57:31.099,2.777778,76.92308,21.12676
2015-02-07 17:57:48.641,2.764773,76.55428,21.06748
2015-02-07 17:58:04.448,2.804066,77.20234,20.62461
2015-02-07 17:58:20.266,2.557756,76.92308,21.15089
2015-02-07 17:58:36.359,2.529251,76.94781,20.83333
2015-02-07 17:58:53.735,2.845757,75.92998,21.23454
2015-02-07 17:59:09.644,2.656432,76.33588,21.29783
2015-02-07 17:59:25.486,2.691009,75.47146,21.28625
2015-02-07 17:59:41.506,2.80957,75.20227,22.16892
2015-02-07 17:59:57.273,2.550975,75.00099,22.27164
2015-02-07 18:00:13.066,2.618036,77.77721,19.24041
2015-02-07 18:00:29.115,2.420541,78.125,19.3757
2015-02-07 18:00:44.867,2.281629,78.61027,18.8457
