date,Draw,France,Ireland
2015-02-14 17:46:25.706,59.68202,373.0126,7022.41
2015-02-14 17:46:41.735,101.0617,69.39567,7519.586
2015-02-14 17:46:57.483,0,0,8026.444
2015-02-14 17:47:13.382,0,113.2148,0
2015-02-14 17:47:29.424,14.96034,153.1939,1539.12
2015-02-14 17:47:45.438,14.98672,0,0
2015-02-14 17:48:01.404,0,0,2213.554
2015-02-14 17:48:17.640,124.9091,66.51963,2023.564
2015-02-14 17:48:33.618,0,701.6096,1939.941
2015-02-14 17:48:49.486,30.25049,522.2748,831.8886
2015-02-14 17:49:05.252,53.27774,162.8777,0
2015-02-14 17:49:21.018,0,307.1953,0
2015-02-14 17:49:37.289,0,10.91541,1106.291
2015-02-14 17:49:54.490,27.9043,13.95215,841.3494
2015-02-14 17:50:10.271,192.3055,791.5018,1003.844
2015-02-14 17:50:26.053,0,130.942,267.2828
2015-02-14 17:50:42.090,167.5303,70.40912,1084.944
2015-02-14 17:50:57.929,0,931.7992,2083.545
2015-02-14 17:51:13.801,139.9026,37.8013,3866.317
2015-02-14 17:51:29.804,0,37.49219,31708.35
2015-02-14 17:51:45.643,86.33096,379.8335,2141.417
2015-02-14 17:52:01.964,0,294.3003,254.999
2015-02-14 17:52:17.954,45.55175,348.5797,1243.855
2015-02-14 17:52:33.655,0,0,16.96675
2015-02-14 17:52:49.534,16.77688,942.3773,8048.37
2015-02-14 17:53:05.253,0,28.24742,0
2015-02-14 17:53:21.228,56.63775,295.921,17177.65
2015-02-14 17:53:37.425,52.56433,48.15619,3016.726
2015-02-14 17:53:53.481,9.678636,45.66522,389.6118
2015-02-14 17:54:09.249,3.12023,14.64986,1799.84
2015-02-14 17:54:25.051,20.69325,47.5755,4255.178
2015-02-14 17:54:40.936,14.7313,16.92211,9946.422
2015-02-14 17:54:56.732,0,1.899164,8375.314
2015-02-14 17:55:12.937,58.02168,127.5959,6022.406
2015-02-14 17:55:28.616,95.86151,346.3643,7427.143
2015-02-14 17:55:44.444,8.149661,58.37432,1529.142
2015-02-14 17:56:00.585,47.76715,26.24405,1635.607
2015-02-14 17:56:16.378,0,398.1475,6419.026
2015-02-14 17:56:32.794,23.24614,270.474,2826.818
2015-02-14 17:56:48.634,124.9231,472.3442,12656.63
2015-02-14 17:57:04.603,108.8899,817.2756,10826.13
2015-02-14 17:57:20.409,26.42043,420.2974,678.2383
2015-02-14 17:57:36.367,81.96435,853.3692,6307.157
2015-02-14 17:57:53.171,0,107.1135,1935.184
2015-02-14 17:58:09.033,18.76187,628.2201,1096.699
2015-02-14 17:58:24.988,58.06315,135.3804,0
2015-02-14 17:58:50.891,74.35594,408.4944,4034.794
2015-02-14 17:59:20.995,47.19654,79.22561,4186.102
2015-02-14 17:59:36.743,42.32795,55.73879,379.3514
2015-02-14 17:59:52.389,195.738,841.4738,13242.46
2015-02-14 18:00:08.264,55.17832,217.0473,900.0113
2015-02-14 18:00:24.042,36.92518,259.541,20191.11
2015-02-14 18:00:40.216,21.70155,96.26586,4844.639
2015-02-14 18:00:56.016,33.07638,128.3941,1111.761
2015-02-14 18:01:11.771,13.78589,80.39228,365.8211
2015-02-14 18:01:27.738,3.306758,7.515358,395.9091
2015-02-14 18:01:43.760,8.201302,26.21421,213.6458
2015-02-14 18:01:59.384,45.16287,350.3963,521.946
2015-02-14 18:02:15.502,254.4345,7.445048,153.7775
2015-02-14 18:02:31.868,107.5286,224.6625,4006.311
2015-02-14 18:02:47.838,2.479633,13.60041,463.1653
2015-02-14 18:03:03.583,14.70962,150.3354,2323.625
2015-02-14 18:03:19.472,16.76649,0,1080.91
2015-02-14 18:03:35.171,23.69527,130.7826,7589.214
2015-02-14 18:03:51.066,78.21436,105.6951,377.4824
2015-02-14 18:04:06.779,16.9539,205.4706,295.9296
2015-02-14 18:04:25.436,50.87642,391.6713,3975.822
2015-02-14 18:04:41.686,7.421306,164.0441,299.9167
2015-02-14 18:04:57.796,1.56423,113.6301,7018.625
2015-02-14 18:05:13.590,180.9868,1062.86,1009.028
2015-02-14 18:05:29.410,59.08825,370.4962,5339.674
2015-02-14 18:05:45.219,0,0,121.4551
2015-02-14 18:06:01.447,66.47411,302.313,2773.982
2015-02-14 18:06:17.804,0,161.4082,282.3176
2015-02-14 18:06:33.600,45.08519,182.3158,2309.942
2015-02-14 18:06:50.619,6.909988,25.41889,13080.43
2015-02-14 18:07:06.538,28.72141,120.6902,15454.98
2015-02-14 18:07:22.268,6.674951,247.736,4373.046
2015-02-14 18:07:38.565,18.73934,92.88677,9912.524
2015-02-14 18:07:54.905,77.70066,0,3315.901
2015-02-14 18:08:10.669,41.48641,0,1958.844
2015-02-14 18:08:26.565,43.82395,38.65265,5816.62
2015-02-14 18:08:42.539,18.55402,20.92022,4482.899
2015-02-14 18:08:58.347,70.48424,101.5702,1690.976
2015-02-14 18:09:14.008,51.22352,270.1399,5675.926
2015-02-14 18:09:31.898,51.58297,344.6467,268.8486
2015-02-14 18:09:47.625,76.75932,354.0009,2897.436
2015-02-14 18:10:03.646,7.527711,259.3877,749.0259
2015-02-14 18:10:19.426,65.89292,192.8499,752.4645
2015-02-14 18:10:35.217,141.2675,407.5024,5449.248
2015-02-14 18:10:51.237,17.11575,350.8542,27249.37
2015-02-14 18:11:07.174,0,576.4183,7415.691
2015-02-14 18:11:23.444,1.253841,131.2845,67.59675
2015-02-14 18:11:39.682,0.221703,1.034614,8448.324
2015-02-14 18:11:55.509,0,90.98387,2047.099
2015-02-14 18:12:11.267,1.332592,42.98562,42494.47
2015-02-14 18:12:27.045,0.836615,204.058,10095.17
2015-02-14 18:12:43.568,13.47197,197.7583,4488.234
2015-02-14 18:12:59.492,55.76593,35.4189,1535.033
2015-02-14 18:13:15.333,32.49759,71.96435,12504.41
2015-02-14 18:13:31.147,18.2877,61.61664,2605.58
2015-02-14 18:13:47.000,34.02557,220.7688,36556.56
2015-02-14 18:14:03.081,10.70856,85.22076,7196.006
2015-02-14 18:14:19.442,15.47592,119.5167,1217.317
2015-02-14 18:14:37.524,2.521767,105.6819,8486.973
2015-02-14 18:14:53.422,4.755488,34.42068,5703.076
2015-02-14 18:15:09.824,61.05016,196.6847,4594.381
2015-02-14 18:15:25.785,1.278146,76.20006,1292.018
2015-02-14 18:15:41.703,5.729311,361.8889,7588.849
2015-02-14 18:15:57.472,44.51829,410.3673,5358.214
2015-02-14 18:16:13.462,3.377019,240.3312,822.5668
2015-02-14 18:16:30.493,0,0,528.4649
2015-02-14 18:16:47.047,17.14365,7.248899,18451.71
2015-02-14 18:17:02.905,1.967509,32.4639,1760.164
2015-02-14 18:17:18.741,13.86666,85.17007,6892.979
2015-02-14 18:17:34.524,7.755318,112.6802,30308.43
2015-02-14 18:17:50.376,0.1135488,0,1519.056
2015-02-14 18:18:06.348,1.465077,89.33214,711.9523
2015-02-14 18:18:22.243,0,15.06107,238.901
2015-02-14 18:18:38.304,4.184118,59.43689,2115.482
2015-02-14 18:18:54.784,14.56361,120.1498,3694.496
2015-02-14 18:19:11.085,14.28078,500.5265,2185.842
2015-02-14 18:19:33.061,10.92105,54.35951,3631.166
2015-02-14 18:19:49.150,14.73106,64.59291,835.792
2015-02-14 18:20:04.762,15.37259,69.56098,1356.17
2015-02-14 18:20:20.781,1.123675,0.03745584,749.1543
2015-02-14 18:20:36.682,14.41393,124.5938,7479.361
2015-02-14 18:20:53.072,2.232994,27.89412,9928.514
2015-02-14 18:21:08.922,13.93054,96.26455,1318.328
2015-02-14 18:21:24.610,22.68056,326.7454,4076.61
2015-02-14 18:21:40.427,11.60753,39.71597,1322.993
2015-02-14 18:21:56.277,94.78812,83.6967,26.53613
2015-02-14 18:22:11.987,52.51495,294.1983,7282.315
2015-02-14 18:22:28.041,15.39838,182.2391,3372.731
2015-02-14 18:22:44.415,1.135903,80.61247,5123.399
2015-02-14 18:23:00.201,12.58107,80.12352,24833.58
2015-02-14 18:23:16.245,12.11696,93.49509,2007.938
2015-02-14 18:23:32.094,66.0198,348.0803,4541.246
2015-02-14 18:23:47.949,0.8704159,93.05882,196.8275
2015-02-14 18:24:04.015,142.4738,460.7336,10842.76
2015-02-14 18:24:20.051,146.5545,480.4831,19739.88
2015-02-14 18:24:35.976,37.82855,410.274,4485.773
2015-02-14 18:24:52.065,82.30664,367.0048,4100.564
2015-02-14 18:25:08.157,36.83662,262.2186,7682.97
2015-02-14 18:25:23.996,22.1983,1297.388,3289.25
2015-02-14 18:25:40.052,154.7446,1122.637,7542.167
2015-02-14 18:25:56.782,112.9729,691.5378,5016.501
2015-02-14 18:26:12.980,57.45302,342.903,14730.68
2015-02-14 18:26:29.068,85.40407,802.2761,8426.398
2015-02-14 18:26:45.384,60.30837,505.3033,5977.516
2015-02-14 18:27:06.779,82.86804,212.1197,3654.887
2015-02-14 18:27:23.155,19.01571,314.6569,7194.57
2015-02-14 18:27:39.225,131.7666,150.8465,10634.9
2015-02-14 18:27:56.181,20.06339,82.5536,4548.728
2015-02-14 18:28:12.267,35.69659,305.5285,5165.3
2015-02-14 18:28:28.280,4.796019,44.96268,8186.018
2015-02-14 18:28:44.326,6.4316,61.6237,1581.052
2015-02-14 18:29:00.693,12.17036,10.04421,3772.151
2015-02-14 18:29:16.887,37.53305,54.13207,3086.38
2015-02-14 18:29:33.116,13.34682,94.68476,11708.26
2015-02-14 18:29:48.935,22.30104,205.2606,12655.73
2015-02-14 18:30:04.786,23.80964,83.8069,99.51596
2015-02-14 18:30:20.844,3.66171,154.838,1700.528
2015-02-14 18:30:36.861,4.083195,63.6454,281.1786
2015-02-14 18:30:53.016,23.10081,202.5963,8182.33
2015-02-14 18:31:09.206,38.54304,228.8863,4555.639
2015-02-14 18:31:25.259,14.16535,282.0362,2659.273
2015-02-14 18:31:41.231,9.61702,140.6865,8355.988
2015-02-14 18:31:57.999,24.61858,153.4725,8807.009
2015-02-14 18:32:14.139,0,0,1259.119
2015-02-14 18:32:30.215,0,171.6803,364.634
2015-02-14 18:32:46.353,5.465518,61.34766,1669.437
2015-02-14 18:33:03.125,0,0,1080.77
2015-02-14 18:33:19.043,22.12536,101.7691,5378.159
2015-02-14 18:33:35.158,11.16959,181.9898,26783.33
2015-02-14 18:33:51.050,23.14388,47.53369,8134.641
2015-02-14 18:34:07.344,1.031087,52.91686,37366.96
2015-02-14 18:34:23.484,0,48.17647,6607.834
2015-02-14 18:34:39.589,34.76043,44.70795,8157.338
2015-02-14 18:34:55.513,16.35229,162.3926,7341.652
