date,Draw,Scotland,Wales
2015-02-15 16:01:12.318,184.6946,3316.102,519.9425
2015-02-15 16:01:27.922,5.229355,51.48608,4317.255
2015-02-15 16:01:43.522,5.307746,7.692385,20.57713
2015-02-15 16:01:59.217,36.73667,94.80431,377.8793
2015-02-15 16:02:14.925,0.8403418,608.2928,70.58871
2015-02-15 16:02:30.491,60.36203,514.5805,764.6628
2015-02-15 16:02:46.099,30.94673,104.7191,1109.969
2015-02-15 16:03:01.713,5.725564,152.7842,259.3027
2015-02-15 16:03:17.792,57.42753,86.94357,4793.912
2015-02-15 16:03:33.534,433.5322,251.5661,1974.031
2015-02-15 16:03:49.787,69.80909,901.9807,2234.149
2015-02-15 16:04:05.507,931.9949,6824.642,15746.21
2015-02-15 16:04:21.142,166.1709,4274.43,11365.55
2015-02-15 16:04:36.719,621.3291,261.4582,4017.744
2015-02-15 16:04:52.319,108.192,38.46144,451.1527
2015-02-15 16:05:07.906,55.66217,208.175,2061.656
2015-02-15 16:05:23.567,206.8437,111.4098,6312.314
2015-02-15 16:05:39.419,167.2969,267.6751,4879.961
2015-02-15 16:05:55.201,44.74652,668.6507,3414.118
2015-02-15 16:06:11.087,85.39683,182.0112,1480.489
2015-02-15 16:06:26.722,153.505,0,7059.158
2015-02-15 16:06:42.311,135.2438,44.22172,836.8644
2015-02-15 16:06:57.958,129.879,76.69265,1336.945
2015-02-15 16:07:13.653,85.3656,329.2673,3095.793
2015-02-15 16:07:29.327,186.3429,121.5363,1187.841
2015-02-15 16:07:46.811,44.88814,128.796,2886.637
2015-02-15 16:08:02.567,157.4249,393.867,1303.916
2015-02-15 16:08:18.516,101.0124,500.8106,6800.295
2015-02-15 16:08:34.121,30.98916,145.2184,21825.1
2015-02-15 16:08:49.706,15.39963,76.99815,1429.355
2015-02-15 16:09:05.408,25.48755,82.11807,3790.653
2015-02-15 16:09:21.311,210.1045,689.8853,9555.737
2015-02-15 16:09:36.973,14.86378,129.9432,1196.458
2015-02-15 16:09:53.603,202.0437,316.2344,4136.123
2015-02-15 16:10:09.319,61.65802,209.5227,7145.573
2015-02-15 16:10:25.257,3.802269,618.1134,3845.223
2015-02-15 16:10:41.306,79.63116,137.6909,5150.603
2015-02-15 16:10:57.466,129.0253,270.192,15306.71
2015-02-15 16:11:13.110,52.27261,230.7588,5136.484
2015-02-15 16:11:28.738,225.1421,890.7396,2724.665
2015-02-15 16:11:44.335,489.5771,144.7151,189.1452
2015-02-15 16:12:00.250,76.41886,558.5325,3311.195
2015-02-15 16:12:16.490,60.88915,499.2688,5109.109
2015-02-15 16:12:32.447,30.75625,100.1646,518.5324
2015-02-15 16:12:48.396,1.429616,133.1424,628.1282
2015-02-15 16:13:04.322,0.7158163,11.94283,27.84149
2015-02-15 16:13:20.122,64.78276,973.678,18.98674
2015-02-15 16:13:35.941,397.4159,18.81259,6014.263
2015-02-15 16:13:52.091,22.10535,170.9728,98.37809
2015-02-15 16:14:07.918,503.7262,1783.191,8618.355
2015-02-15 16:14:28.819,486.4326,21.15673,4810.759
2015-02-15 16:14:44.673,72.01809,0.4919785,628.6728
2015-02-15 16:15:00.451,636.0183,49.4364,3599.959
2015-02-15 16:15:16.318,15.12585,0,9241.893
2015-02-15 16:15:32.279,275.9678,409.9106,3485.969
2015-02-15 16:15:48.046,544.1895,149.2421,1815.868
2015-02-15 16:16:03.860,255.8795,15.85968,761.1885
2015-02-15 16:16:19.689,126.5238,29.56517,557.6446
2015-02-15 16:16:35.639,255.056,263.4074,1831.475
2015-02-15 16:16:51.395,592.5365,27.3039,190.8607
2015-02-15 16:17:07.380,0,75.06918,1235.301
2015-02-15 16:17:23.398,83.45548,585.4619,5984.934
2015-02-15 16:17:39.416,41.61679,43.7894,3325.972
2015-02-15 16:17:56.531,427.4791,72.98766,324.6233
2015-02-15 16:18:12.514,335.7922,116.3729,688.7775
2015-02-15 16:18:28.308,181.0228,94.63334,1855.664
2015-02-15 16:18:44.098,97.08526,216.3614,1867.761
2015-02-15 16:18:59.998,76.75256,75.46958,385.2722
2015-02-15 16:19:16.080,52.23314,0,2206.104
2015-02-15 16:19:31.747,140.8998,4.05963,7409.743
2015-02-15 16:19:47.531,95.25773,332.0716,741.0793
2015-02-15 16:20:08.459,96.79137,239.2261,876.4264
2015-02-15 16:20:24.276,167.8539,154.729,2373.207
2015-02-15 16:20:40.272,37.05952,950.3442,828.6629
2015-02-15 16:20:56.251,76.6722,167.3872,10004
2015-02-15 16:21:11.915,195.7457,0,2414.567
2015-02-15 16:21:27.828,0.4524547,1.508182,778.1089
2015-02-15 16:21:43.896,141.225,13.06947,5539.626
2015-02-15 16:21:59.699,35.80368,97.76722,5780.795
2015-02-15 16:22:15.491,224.1909,17.05842,1310.649
2015-02-15 16:22:31.390,0.264177,1.018968,2078.922
2015-02-15 16:22:47.316,149.6814,131.899,1508.569
2015-02-15 16:23:03.356,31.38393,212.1315,131.0719
2015-02-15 16:23:19.223,872.0425,1085.194,2907.968
2015-02-15 16:23:35.245,34.04062,143.3151,982.4221
2015-02-15 16:23:50.937,171.9169,114.7132,437.2103
2015-02-15 16:24:06.635,132.2081,99.79627,6316.71
2015-02-15 16:24:27.599,72.15144,323.923,12400.23
2015-02-15 16:24:43.874,36.53544,142.6025,1641.993
2015-02-15 16:24:59.722,37.6317,132.0895,1680.327
2015-02-15 16:25:15.662,46.56185,314.0761,2956.809
2015-02-15 16:25:31.332,61.26326,38.28954,1388.608
2015-02-15 16:25:47.135,16.55385,130.9121,6545.49
2015-02-15 16:26:02.845,182.861,164.6055,29181.99
2015-02-15 16:26:18.876,64.60229,76.99126,9588.163
2015-02-15 16:26:34.586,321.0846,498.1451,7818.01
2015-02-15 16:26:50.340,493.3936,348.8222,5115.679
2015-02-15 16:27:06.320,635.1821,1154.119,12625.51
2015-02-15 16:27:22.004,51.33915,153.2141,15178.64
2015-02-15 16:27:43.966,111.5176,49.09287,4315.392
2015-02-15 16:28:19.385,74.79133,57.76635,1042.86
2015-02-15 16:28:35.182,51.57809,77.55704,3770.138
2015-02-15 16:28:51.057,164.1808,476.9333,34870.63
2015-02-15 16:29:06.872,514.0925,0,8866.635
2015-02-15 16:29:22.934,254.5321,106.7959,23748.06
2015-02-15 16:29:39.032,38.7629,52.55355,37821.22
2015-02-15 16:29:54.813,3.041583,80.14571,36938.88
2015-02-15 16:30:10.511,509.1521,1007.564,41127.08
2015-02-15 16:30:26.135,239.2826,214.3213,11086.49
2015-02-15 16:30:41.772,116.302,153.9822,15781.51
2015-02-15 16:30:57.965,1.556208,150.1741,3997.157
2015-02-15 16:31:13.772,0,159.2372,7462.248
2015-02-15 16:31:29.566,168.1021,23.70524,18109.17
2015-02-15 16:31:45.443,56.9115,266.7585,5203.019
2015-02-15 16:32:01.162,49.12392,120.1189,18526.28
2015-02-15 16:32:16.932,34.77678,53.07834,63743.66
2015-02-15 16:32:32.576,38.12323,113.2191,4943.9
2015-02-15 16:32:48.382,56.25546,83.51012,46745.82
2015-02-15 16:33:04.188,50.03223,101.2413,33490.2
2015-02-15 16:33:21.228,23.23947,189.8594,14844.84
2015-02-15 16:33:37.011,34.06142,67.66665,20399.82
2015-02-15 16:33:52.848,88.92129,189.5118,53993.33
2015-02-15 16:34:08.564,60.35753,57.26521,4870.903
2015-02-15 16:34:24.395,35.36198,73.79397,16216.33
2015-02-15 16:34:40.234,67.46258,149.6222,15501.73
2015-02-15 16:34:55.930,63.15239,45.10885,11082.56
2015-02-15 16:35:11.568,60.73499,35.22092,7865.967
2015-02-15 16:35:27.443,76.31177,62.70491,9015.75
2015-02-15 16:35:43.428,157.4587,246.3037,1423.209
2015-02-15 16:35:59.254,217.9907,111.2321,2439.146
2015-02-15 16:36:15.020,72.00202,141.8348,2652.962
2015-02-15 16:36:30.864,60.77985,68.50514,13129.02
2015-02-15 16:36:46.607,72.9099,143.8379,685.9934
2015-02-15 16:37:02.460,146.3181,7.569482,2598.338
2015-02-15 16:37:18.865,94.94972,66.75009,4998.357
2015-02-15 16:37:34.547,769.5199,125.607,23506.68
2015-02-15 16:37:50.148,85.72263,11.80657,7140.822
2015-02-15 16:38:05.876,217.1884,230.8461,51112.17
2015-02-15 16:38:21.551,116.8998,136.5362,40590.38
2015-02-15 16:38:37.376,49.02271,84.32058,17663.08
2015-02-15 16:38:53.614,25.79111,386.2016,8475.558
2015-02-15 16:39:09.802,104.2616,93.32764,52535.19
2015-02-15 16:39:25.560,100.6013,9.443268,26021.8
2015-02-15 16:39:41.208,34.23981,38.34245,8206.588
2015-02-15 16:39:57.070,107.7266,57.04061,47299.42
2015-02-15 16:40:12.768,26.75579,19.83751,8175.844
2015-02-15 16:40:28.750,9.423028,38.02999,9729.709
2015-02-15 16:40:44.663,26.43066,1.432761,2609.585
2015-02-15 16:41:00.398,149.5184,75.73159,10372.75
2015-02-15 16:41:16.130,94.43092,55.60593,17572.58
2015-02-15 16:41:32.279,3.78969,0,23752.7
2015-02-15 16:41:47.984,0.9169044,209.7419,3626.739
2015-02-15 16:42:03.779,0,202.1734,5209.023
2015-02-15 16:42:20.102,270.9747,120.5639,8427.709
2015-02-15 16:42:35.793,0,4.818031,7928.835
2015-02-15 16:42:51.626,18.49252,10.61046,386.7512
2015-02-15 16:43:07.463,16.89745,20.53457,2415.426
2015-02-15 16:43:23.192,27.08369,77.32204,6783.436
2015-02-15 16:43:39.576,81.59202,80.56662,16222.53
2015-02-15 16:43:55.511,58.54875,21.3863,19594.14
2015-02-15 16:44:11.267,131.6911,4.379547,1970.149
2015-02-15 16:44:27.011,74.46221,2.36267,5444.887
2015-02-15 16:44:42.839,0,0,37.94643
2015-02-15 16:44:59.209,14.62472,4.691639,4609.645
2015-02-15 16:45:15.370,0,0,35548.17
2015-02-15 16:45:36.455,0,22.76527,479.6072
2015-02-15 16:45:52.304,0,2.23354,2077.646
2015-02-15 16:46:08.256,0,0,4411.628
2015-02-15 16:46:24.140,0,11.18106,22542.53
2015-02-15 16:46:40.656,34.11134,0.3632731,8653.165
2015-02-15 16:46:56.496,23.14526,52.80605,6237.97
2015-02-15 16:47:12.191,0,0,28.21194
2015-02-15 16:47:27.962,9.510949,0.9510949,12407.72
2015-02-15 16:47:44.088,40.18374,84.27423,8036.152
2015-02-15 16:48:00.227,29.7415,0,604.7933
2015-02-15 16:48:21.300,0,0,0
2015-02-15 16:48:44.481,0,0,0
2015-02-15 16:49:00.205,0,0,0
2015-02-15 16:49:15.960,0,0,0
2015-02-15 16:49:31.634,0,0,0
