date,AnaIvanovic,BethanieMattekSands
2015-07-01 18:47:30.718,26.14379,73.85621
2015-07-01 18:47:42.917,26.49007,73.50993
2015-07-01 18:47:55.218,26.14379,73.85621
2015-07-01 18:48:07.698,26.49007,73.50993
2015-07-01 18:48:19.933,26.49007,73.50993
2015-07-01 18:48:32.357,28.36879,71.63121
2015-07-01 18:48:44.862,28.98551,71.01449
2015-07-01 18:48:57.282,28.98551,71.01449
2015-07-01 18:49:09.533,30.53435,69.46565
2015-07-01 18:49:22.010,29.85075,70.14925
2015-07-01 18:49:34.358,29.19708,70.80292
2015-07-01 18:49:46.721,23.52941,76.47059
2015-07-01 18:49:58.965,25.80645,74.19355
2015-07-01 18:50:11.351,13.24503,86.75497
2015-07-01 18:50:23.749,18.34862,81.65138
2015-07-01 18:50:36.186,13.0719,86.9281
2015-07-01 18:50:48.573,15.87302,84.12698
2015-07-01 18:51:01.105,15.87302,84.12698
2015-07-01 18:51:13.499,17.3913,82.6087
2015-07-01 18:51:25.779,17.85714,82.14286
2015-07-01 18:51:38.135,15.15152,84.84848
2015-07-01 18:51:50.583,15.15152,84.84848
2015-07-01 18:52:03.067,17.54386,82.45614
2015-07-01 18:52:15.502,17.09402,82.90598
2015-07-01 18:52:27.810,18.69159,81.30841
2015-07-01 18:52:40.208,16.12903,83.87097
2015-07-01 18:52:52.631,15.87302,84.12698
2015-07-01 18:53:04.932,10.41667,89.58333
2015-07-01 18:53:17.487,11.83432,88.16568
2015-07-01 18:53:29.837,12.19512,87.80488
2015-07-01 18:53:42.209,15.15152,84.84848
2015-07-01 18:53:54.632,15.38462,84.61538
2015-07-01 18:54:07.059,18.34862,81.65138
2015-07-01 18:54:19.520,18.34862,81.65138
2015-07-01 18:54:31.865,19.60784,80.39216
2015-07-01 18:54:44.213,20.20202,79.79798
2015-07-01 18:54:56.647,20.61856,79.38144
2015-07-01 18:55:08.981,20.20202,79.79798
2015-07-01 18:55:21.431,20.20202,79.79798
2015-07-01 18:55:33.759,20.61856,79.38144
2015-07-01 18:55:46.171,23.9521,76.0479
2015-07-01 18:55:58.528,20.61856,79.38144
2015-07-01 18:56:10.792,23.66864,76.33136
2015-07-01 18:56:23.222,12.57862,87.42138
2015-07-01 18:56:35.702,17.24138,82.75862
2015-07-01 18:56:48.172,19.60784,80.39216
2015-07-01 18:57:00.532,13.88889,86.11111
2015-07-01 18:57:12.854,13.51351,86.48649
2015-07-01 18:57:25.140,15.03759,84.96241
2015-07-01 18:57:37.648,15.26718,84.73282
2015-07-01 18:57:50.003,15.26718,84.73282
2015-07-01 18:58:02.426,17.3913,82.6087
2015-07-01 18:58:14.747,14.49275,85.50725
2015-07-01 18:58:27.172,10.98901,89.01099
2015-07-01 18:58:39.639,12.65823,87.34177
2015-07-01 18:58:51.931,11.62791,88.37209
2015-07-01 18:59:04.268,9.090909,90.90909
2015-07-01 18:59:16.416,8.695652,91.30435
2015-07-01 18:59:28.810,10.41667,89.58333
2015-07-01 18:59:41.211,11.36364,88.63636
2015-07-01 18:59:53.556,9.52381,90.47619
2015-07-01 19:00:05.946,10.15228,89.84772
