date,LA Lakers,Minnesota
2014-12-15 01:46:42.898,2432.062,52.48804
2014-12-15 01:47:03.787,7033.839,34.1514
2014-12-15 01:47:24.465,3737.958,27.79711
2014-12-15 01:47:45.093,3569.923,0
2014-12-15 01:48:05.680,478.3151,5.828846
2014-12-15 01:48:26.305,7475.338,318.1694
2014-12-15 01:48:47.397,406.0455,19.28674
2014-12-15 01:49:07.868,4965.568,72.86444
2014-12-15 01:49:28.486,1816.322,0
2014-12-15 01:49:49.076,4145.585,104.2946
2014-12-15 01:50:31.204,4833.174,275.7741
2014-12-15 01:50:51.733,8062.468,93.55625
2014-12-15 01:51:12.256,4121.294,58.32434
2014-12-15 01:51:32.865,513.565,152.4973
2014-12-15 01:51:53.461,4220.052,7.399512
2014-12-15 01:52:14.087,3444.56,193.3312
2014-12-15 01:52:34.678,1381.204,36.39426
2014-12-15 01:52:55.381,6321.818,145.9737
2014-12-15 01:53:15.888,5971.058,747.9987
2014-12-15 01:53:36.558,7111.753,138.0585
2014-12-15 01:53:57.211,2777.11,190.1414
2014-12-15 01:54:17.901,547.4516,101.9331
2014-12-15 01:54:39.006,6528.162,76.7591
2014-12-15 01:54:59.942,2863.288,0
2014-12-15 01:55:20.465,13578.01,316.4176
2014-12-15 01:55:41.169,6289.794,131.2499
2014-12-15 01:56:01.876,9050.163,0
2014-12-15 01:56:22.669,7554.119,0
2014-12-15 01:56:43.474,9793.197,873.8869
2014-12-15 01:57:04.107,5896.838,1016.34
2014-12-15 01:57:24.680,3180.674,341.0167
2014-12-15 01:57:45.294,708.612,42.23438
2014-12-15 01:58:05.869,849.1181,281.0856
2014-12-15 01:58:26.470,5547.828,565.6116
2014-12-15 01:58:47.073,4754.842,150.4999
2014-12-15 01:59:08.086,805.0331,118.1294
2014-12-15 01:59:28.665,19393.13,236.7413
2014-12-15 01:59:49.267,6949.108,0
2014-12-15 02:00:09.902,2597.261,220.817
2014-12-15 02:00:30.491,7723.207,14.86213
2014-12-15 02:00:51.077,950.5903,10.14274
2014-12-15 02:01:11.924,451.7435,14.64943
2014-12-15 02:01:32.473,5556.089,46.30999
2014-12-15 02:01:53.084,1194.157,48.2076
2014-12-15 02:02:14.368,3943.092,125.135
2014-12-15 02:02:34.901,639.5868,198.702
2014-12-15 02:02:55.456,268.6885,104.3813
2014-12-15 02:03:16.411,1574.677,354.3344
2014-12-15 02:03:36.889,58.0725,14.53277
2014-12-15 02:03:57.487,549.5032,110.693
2014-12-15 02:04:18.441,3229.547,34.70445
2014-12-15 02:04:39.106,451.7504,50.6655
2014-12-15 02:05:00.287,6241.566,154.9472
2014-12-15 02:05:21.041,1173.048,210.2327
2014-12-15 02:05:42.874,4474.65,379.2244
2014-12-15 02:06:03.489,856.855,0
2014-12-15 02:06:24.101,166.9057,7.538993
2014-12-15 02:06:44.661,20616.81,141.1009
2014-12-15 02:07:05.514,28604.26,5.754706
2014-12-15 02:07:26.104,9393.169,0
2014-12-15 02:07:46.779,41519,2108.881
2014-12-15 02:08:07.314,61149.37,33.19178
2014-12-15 02:08:28.084,10102.02,2.28208
2014-12-15 02:08:49.041,803.906,111.2281
2014-12-15 02:09:09.701,12276.25,117.5901
2014-12-15 02:09:30.365,79197.03,8.768988
2014-12-15 02:09:50.982,42770.49,0
2014-12-15 02:10:11.514,7566.865,5.844583
2014-12-15 02:10:36.590,25187.8,8.853198
2014-12-15 02:10:57.676,13822.22,2.276397
2014-12-15 02:11:18.412,2537.102,44.906
2014-12-15 02:11:39.072,8617.138,15.76954
2014-12-15 02:11:59.954,7784.136,22.84271
2014-12-15 02:12:20.469,3050.001,229.5266
2014-12-15 02:12:41.108,6069.832,0.9593492
2014-12-15 02:13:01.655,1577.956,259.4544
2014-12-15 02:13:22.258,5554.45,0.3494702
2014-12-15 02:13:43.027,5502.571,3103.589
2014-12-15 02:14:03.677,1893.725,27.02126
2014-12-15 02:14:24.274,6957.143,106.7941
2014-12-15 02:14:45.141,5238.714,56.98911
2014-12-15 02:15:05.700,2140.073,197.3458
2014-12-15 02:15:26.386,6708.337,67.63998
2014-12-15 02:15:46.889,33484.82,208.4196
2014-12-15 02:16:07.498,2761.769,277.1871
2014-12-15 02:16:28.406,9038.348,18.25146
2014-12-15 02:16:48.898,52837.35,0
2014-12-15 02:17:09.700,1756.166,10.98938
2014-12-15 02:17:31.437,6392.711,0
2014-12-15 02:17:52.144,3803.611,0
2014-12-15 02:18:13.061,569.0414,8.433217
2014-12-15 02:18:34.218,12397.05,14.18011
2014-12-15 02:18:54.754,13110.2,0
2014-12-15 02:19:15.673,721.9779,0.4589086
2014-12-15 02:19:36.466,1612.901,30.06786
2014-12-15 02:19:57.100,5538.436,0
2014-12-15 02:20:17.666,525.5128,11.58211
2014-12-15 02:20:38.328,9725.574,797.7914
2014-12-15 02:20:59.188,759.7425,0
2014-12-15 02:21:19.805,2757.458,17.57788
2014-12-15 02:21:40.262,3313.6,0
2014-12-15 02:22:01.003,49141.85,10.35645
2014-12-15 02:22:21.493,7798.346,0
2014-12-15 02:22:42.091,1166.833,15.72944
2014-12-15 02:23:02.698,27599.11,0
2014-12-15 02:23:23.425,4391.714,0
2014-12-15 02:23:44.233,2719.398,4.556072
2014-12-15 02:24:04.913,35063.45,0
2014-12-15 02:24:25.481,5604.769,18.5826
2014-12-15 02:24:46.098,46722.44,2.066258
2014-12-15 02:25:06.685,51100.91,0.2914375
2014-12-15 02:25:27.376,7104.201,0
2014-12-15 02:25:47.925,8940.516,0
2014-12-15 02:26:11.302,2025.347,0
2014-12-15 02:26:31.900,3595.028,0
2014-12-15 02:26:52.936,114.0896,0
2014-12-15 02:27:13.980,1732.954,0.6272722
2014-12-15 02:27:34.497,19.47615,23.10233
2014-12-15 02:27:55.136,4.767673,0
2014-12-15 02:28:15.720,0,0
2014-12-15 02:28:36.359,269.2948,0
2014-12-15 02:28:56.882,0,0
2014-12-15 02:29:17.469,0,12.03667
2014-12-15 02:29:38.145,0,0
2014-12-15 02:29:59.133,0,0
2014-12-15 02:30:19.754,0,0
