date,Draw,England,South Africa
2014-11-15 15:39:30.371,246.5476,8694.652,2035.391
2014-11-15 15:39:50.952,297.9723,2301.275,2235.302
2014-11-15 15:40:11.572,347.5225,13206.09,1466.415
2014-11-15 15:40:32.344,85.58601,18935.19,3690.539
2014-11-15 15:40:53.391,348.5701,11300.78,2160.525
2014-11-15 15:41:14.161,256.5223,13349.56,3087.627
2014-11-15 15:41:35.236,901.7549,15068.74,6505.817
2014-11-15 15:41:56.159,636.6962,14221.68,5758.227
2014-11-15 15:42:16.945,1255.73,8501.254,6777.53
2014-11-15 15:42:37.672,996.3879,11146.69,5104.65
2014-11-15 15:42:58.447,799.6387,2702.488,2028.368
2014-11-15 15:43:19.874,399.1633,3488.864,49.78691
2014-11-15 15:43:40.650,126.4014,162.4995,8539.442
2014-11-15 15:44:01.600,111.0667,642.5427,1785.172
2014-11-15 15:44:22.924,220.649,2271.149,5222.759
2014-11-15 15:44:43.718,217.4548,1958.219,3931.587
2014-11-15 15:45:04.386,22.96313,100.3294,6743.874
2014-11-15 15:45:25.218,188.2998,305.8648,9235.275
2014-11-15 15:45:46.421,84.66681,800.5145,9884.737
2014-11-15 15:46:07.373,514.1648,2708.286,9156.595
2014-11-15 15:46:28.217,512.2525,900.5294,4002.772
2014-11-15 15:46:49.193,215.1934,2011.427,7223.895
2014-11-15 15:47:10.146,43.03871,863.0937,3522.674
2014-11-15 15:47:31.026,34.22468,1236.974,9573.371
2014-11-15 15:47:52.264,94.21394,1772.776,5554.244
2014-11-15 15:48:13.276,17.36204,261.2587,8796.557
2014-11-15 15:48:34.122,133.9806,988.1465,7454.215
2014-11-15 15:48:55.035,73.18986,2233.596,7638.112
2014-11-15 15:49:15.829,65.12296,722.2964,5627.264
2014-11-15 15:49:36.566,84.75018,1102.852,2146.792
2014-11-15 15:49:57.195,44.52818,596.346,831.5223
2014-11-15 15:50:17.966,74.70275,646.0083,2708.942
2014-11-15 15:50:38.502,42.45084,245.4728,2346.073
2014-11-15 15:50:59.923,2.857096,16.80645,3301.375
2014-11-15 15:51:20.561,48.63753,172.1937,3404.104
2014-11-15 15:51:41.157,18.06176,184.3756,3720.49
2014-11-15 15:52:02.047,145.8524,596.076,1414.004
2014-11-15 15:52:22.973,178.0842,620.585,15573.92
2014-11-15 15:52:49.322,59.77367,238.9808,4691.379
2014-11-15 15:53:09.941,30.72851,157.7164,6792.455
2014-11-15 15:53:31.192,6.974057,138.9729,899.5404
2014-11-15 15:53:52.144,60.56434,28.63562,2954.165
2014-11-15 15:54:12.737,10.83907,415.0897,9107.41
2014-11-15 15:54:33.377,111.8882,240.6367,16121.53
2014-11-15 15:54:54.758,21.49548,475.0333,30876.18
2014-11-15 15:55:15.314,23.23428,0,5113.206
2014-11-15 15:55:35.885,97.30399,581.6363,20757.83
2014-11-15 15:55:56.702,88.94392,382.7528,18768.23
2014-11-15 15:56:17.381,57.1014,83.09879,7782.91
2014-11-15 15:56:38.366,129.6348,117.7692,4166.069
2014-11-15 15:56:58.926,48.706,111.1863,4208.21
2014-11-15 15:57:19.601,30.0367,594.2623,2341.092
2014-11-15 15:57:41.670,22.53862,182.5384,1541.408
2014-11-15 15:58:02.438,102.2412,158.8076,1222.706
2014-11-15 15:58:23.118,162.679,801.5866,5376.445
2014-11-15 15:58:43.889,184.7899,961.2139,10124.39
2014-11-15 15:59:04.583,144.3027,866.1929,10050.33
2014-11-15 15:59:25.482,25.29288,183.7681,10006.94
2014-11-15 15:59:46.113,219.6957,203.0891,10894.05
2014-11-15 16:00:06.765,13.71261,98.98061,13796.48
2014-11-15 16:00:27.365,106.9492,154.3657,7075.455
2014-11-15 16:00:48.005,74.10077,1382.071,1985.372
2014-11-15 16:01:09.834,108.2136,1205.55,7868.836
2014-11-15 16:01:31.110,65.65019,74.89987,3007.641
2014-11-15 16:01:52.026,27.02247,134.137,5376.497
2014-11-15 16:02:13.065,28.91855,578.8273,9037.788
2014-11-15 16:02:34.183,58.81136,162.4841,11561.72
2014-11-15 16:02:55.039,123.7365,29.02817,6725.559
2014-11-15 16:03:15.801,11.41491,117.2991,5385.44
2014-11-15 16:03:36.592,38.75727,282.2383,27821.8
2014-11-15 16:03:57.510,53.293,160.5387,8734.344
2014-11-15 16:04:18.197,49.91535,55.10701,5214.225
2014-11-15 16:04:39.018,75.21476,294.8649,5023.856
2014-11-15 16:04:59.791,63.97738,353.2187,4199.978
2014-11-15 16:05:20.874,66.1089,113.0084,3226.985
2014-11-15 16:05:41.910,204.3665,641.7651,7868.468
2014-11-15 16:06:02.599,87.23394,216.1418,2527.754
2014-11-15 16:06:23.391,14.31333,341.3556,7168.353
2014-11-15 16:06:44.755,59.28718,54.68126,1412.81
2014-11-15 16:07:05.365,173.8795,1179.953,6143.567
2014-11-15 16:07:25.899,574.9697,1510.987,3978.532
2014-11-15 16:07:47.454,120.2759,863.8379,3341.227
2014-11-15 16:08:08.165,235.8531,383.982,3601.041
2014-11-15 16:08:28.898,708.0943,1123.737,6628.49
2014-11-15 16:08:49.566,84.59843,101.611,344.5194
2014-11-15 16:09:10.207,107.8725,325.5652,5756.545
2014-11-15 16:09:31.003,98.15087,760.049,7713.181
2014-11-15 16:09:51.881,211.4038,2003.594,6100.074
2014-11-15 16:10:12.679,387.0353,1835.389,8872.906
2014-11-15 16:10:33.366,36.3408,450.9102,9206.086
2014-11-15 16:10:54.511,522.7852,163.6399,1643.039
