date,AndyMurray,VasekPospisil
2015-07-08 13:51:46.024,97.56098,2.272727
2015-07-08 13:51:57.857,97.56098,2.325581
2015-07-08 13:52:09.591,97.56098,2.325581
2015-07-08 13:52:21.414,97.56098,2.325581
2015-07-08 13:52:33.182,97.56098,2.325581
2015-07-08 13:52:45.041,97.56098,2.325581
2015-07-08 13:52:56.825,97.56098,2.325581
2015-07-08 13:53:08.635,97.56098,2.222222
2015-07-08 13:53:20.408,97.56098,2.272727
2015-07-08 13:53:32.156,97.56098,2.272727
2015-07-08 13:53:43.806,97.56098,2.272727
2015-07-08 13:53:55.613,97.56098,2.272727
2015-07-08 13:54:07.389,97.56098,2.222222
2015-07-08 13:54:19.224,97.56098,2.325581
2015-07-08 13:54:30.978,97.56098,2.325581
2015-07-08 13:54:42.787,97.56098,2.325581
2015-07-08 13:54:54.570,97.56098,2.222222
2015-07-08 13:55:06.604,97.56098,2.222222
2015-07-08 13:55:18.389,97.56098,2.222222
2015-07-08 13:55:30.214,97.56098,2.222222
2015-07-08 13:55:42.137,97.56098,2.272727
2015-07-08 13:55:54.003,97.56098,2.325581
2015-07-08 13:56:05.811,97.56098,2.325581
2015-07-08 13:56:17.630,97.56098,2.325581
2015-07-08 13:56:29.341,97.56098,2.325581
2015-07-08 13:56:41.198,97.56098,2.325581
2015-07-08 13:56:53.013,97.56098,2.325581
2015-07-08 13:57:04.792,97.56098,2.325581
2015-07-08 13:57:16.619,97.56098,2.325581
2015-07-08 13:57:28.348,97.56098,2.325581
2015-07-08 13:57:40.199,97.56098,2.325581
2015-07-08 13:57:51.979,97.56098,2.325581
2015-07-08 13:58:03.815,97.56098,2.325581
2015-07-08 13:58:15.545,97.56098,2.325581
2015-07-08 13:58:27.378,97.56098,2.325581
2015-07-08 13:58:39.183,97.56098,2.325581
2015-07-08 13:58:51.024,97.56098,2.325581
2015-07-08 13:59:02.795,97.56098,2.325581
2015-07-08 13:59:14.616,97.56098,2.325581
2015-07-08 13:59:26.376,97.56098,2.325581
2015-07-08 13:59:38.232,97.56098,2.325581
2015-07-08 13:59:50.027,97.56098,2.325581
2015-07-08 14:00:02.124,97.56098,2.272727
2015-07-08 14:00:13.841,97.56098,2.222222
2015-07-08 14:00:25.603,97.56098,2.222222
2015-07-08 14:00:37.430,97.56098,2.222222
2015-07-08 14:00:49.231,97.56098,2.222222
2015-07-08 14:01:00.967,97.56098,2.222222
2015-07-08 14:01:12.818,97.56098,2.222222
2015-07-08 14:01:24.591,97.56098,2.222222
2015-07-08 14:01:36.381,97.56098,2.222222
2015-07-08 14:01:48.217,97.56098,2.222222
2015-07-08 14:02:00.030,97.56098,2.222222
2015-07-08 14:02:11.819,97.56098,2.222222
2015-07-08 14:02:23.619,97.56098,2.222222
2015-07-08 14:02:35.343,97.56098,2.222222
2015-07-08 14:02:47.207,97.56098,2.222222
2015-07-08 14:02:58.997,97.56098,2.222222
2015-07-08 14:03:10.841,97.56098,2.222222
2015-07-08 14:03:22.601,97.56098,2.222222
2015-07-08 14:03:34.381,97.56098,2.222222
2015-07-08 14:03:46.174,97.56098,2.222222
2015-07-08 14:03:57.999,97.56098,2.222222
2015-07-08 14:04:09.818,97.56098,2.222222
2015-07-08 14:04:21.583,97.56098,2.325581
2015-07-08 14:04:33.402,97.56098,2.325581
2015-07-08 14:04:45.194,97.56098,2.325581
2015-07-08 14:04:56.983,97.56098,2.439024
2015-07-08 14:05:08.801,97.56098,2.439024
2015-07-08 14:05:20.594,97.56098,2.439024
2015-07-08 14:05:32.421,97.56098,2.325581
2015-07-08 14:05:44.215,97.56098,2.325581
2015-07-08 14:05:56.004,97.56098,2.439024
2015-07-08 14:06:07.820,97.56098,2.439024
2015-07-08 14:06:19.628,97.56098,2.439024
2015-07-08 14:06:31.380,97.56098,2.439024
2015-07-08 14:06:43.221,97.56098,2.439024
2015-07-08 14:06:55.042,97.56098,2.439024
2015-07-08 14:07:06.821,97.56098,2.439024
2015-07-08 14:07:18.623,97.56098,2.439024
2015-07-08 14:07:30.382,97.56098,2.439024
2015-07-08 14:07:42.253,97.56098,2.439024
2015-07-08 14:07:54.007,97.56098,2.439024
2015-07-08 14:08:05.826,97.56098,2.439024
2015-07-08 14:08:17.611,97.56098,2.439024
2015-07-08 14:08:29.504,97.56098,2.439024
2015-07-08 14:08:41.219,97.56098,2.439024
2015-07-08 14:08:52.993,97.56098,2.564103
2015-07-08 14:09:04.808,97.56098,2.857143
2015-07-08 14:09:16.587,97.56098,2.702703
2015-07-08 14:09:28.405,97.56098,2.857143
2015-07-08 14:09:40.198,96.61836,3.030303
2015-07-08 14:09:51.975,96.61836,3.448276
2015-07-08 14:10:03.723,96.61836,3.389831
2015-07-08 14:10:15.492,96.61836,3.030303
2015-07-08 14:10:27.228,96.61836,2.857143
2015-07-08 14:10:38.901,96.61836,3.389831
2015-07-08 14:10:50.615,97.56098,2.857143
2015-07-08 14:11:02.387,97.56098,2.702703
2015-07-08 14:11:14.258,97.56098,2.702703
2015-07-08 14:11:26.006,97.56098,2.439024
2015-07-08 14:11:37.865,97.56098,2.439024
2015-07-08 14:11:49.789,97.56098,2.272727
2015-07-08 14:12:01.628,97.56098,2.325581
2015-07-08 14:12:13.390,97.56098,2.325581
2015-07-08 14:12:25.196,97.56098,2.222222
2015-07-08 14:12:37.036,97.56098,2.325581
2015-07-08 14:12:48.807,97.56098,2.325581
2015-07-08 14:13:00.590,97.56098,2.325581
2015-07-08 14:13:12.324,97.56098,2.439024
2015-07-08 14:13:23.974,97.56098,2.439024
2015-07-08 14:13:35.904,97.56098,2.439024
2015-07-08 14:13:47.594,97.56098,2.439024
2015-07-08 14:13:59.427,97.56098,2.439024
2015-07-08 14:14:11.152,97.56098,2.439024
2015-07-08 14:14:23.044,97.56098,2.439024
2015-07-08 14:14:34.801,97.56098,2.564103
2015-07-08 14:14:46.610,97.56098,2.564103
2015-07-08 14:14:58.410,97.56098,2.702703
2015-07-08 14:15:10.202,97.56098,2.702703
2015-07-08 14:15:22.044,97.56098,2.702703
2015-07-08 14:15:33.912,97.56098,2.702703
2015-07-08 14:15:45.564,97.56098,2.702703
2015-07-08 14:15:57.407,97.56098,2.702703
2015-07-08 14:16:09.200,97.56098,2.702703
2015-07-08 14:16:21.037,97.56098,2.702703
2015-07-08 14:16:32.812,97.56098,2.702703
2015-07-08 14:16:44.636,97.56098,2.564103
2015-07-08 14:16:56.370,97.56098,2.564103
2015-07-08 14:17:08.221,97.56098,2.564103
2015-07-08 14:17:20.018,97.56098,2.439024
2015-07-08 14:17:31.748,97.56098,2.564103
2015-07-08 14:17:43.569,97.56098,2.564103
2015-07-08 14:17:55.389,97.56098,2.564103
2015-07-08 14:18:07.310,97.56098,2.439024
2015-07-08 14:18:19.006,97.56098,2.439024
2015-07-08 14:18:30.810,97.56098,2.439024
2015-07-08 14:18:42.663,97.56098,2.325581
2015-07-08 14:18:54.381,97.56098,2.380952
2015-07-08 14:19:06.191,97.56098,2.439024
2015-07-08 14:19:18.009,97.56098,2.439024
2015-07-08 14:19:29.780,97.56098,2.439024
2015-07-08 14:19:41.596,97.56098,2.564103
2015-07-08 14:19:53.383,97.56098,2.564103
2015-07-08 14:20:05.122,97.56098,2.564103
2015-07-08 14:20:16.794,97.56098,2.702703
2015-07-08 14:20:28.602,97.56098,2.702703
2015-07-08 14:20:40.408,97.56098,2.702703
2015-07-08 14:20:52.197,97.56098,2.702703
2015-07-08 14:21:03.994,97.56098,2.702703
2015-07-08 14:21:15.758,97.56098,2.564103
2015-07-08 14:21:27.623,97.56098,2.564103
2015-07-08 14:21:39.408,97.56098,2.564103
2015-07-08 14:21:51.253,97.56098,2.564103
2015-07-08 14:22:03.017,97.56098,2.439024
2015-07-08 14:22:14.849,97.56098,2.439024
2015-07-08 14:22:26.600,97.56098,2.439024
2015-07-08 14:22:38.403,97.56098,2.325581
2015-07-08 14:22:50.244,97.56098,2.325581
2015-07-08 14:23:01.949,97.56098,2.325581
2015-07-08 14:23:13.792,97.56098,2.325581
2015-07-08 14:23:25.610,97.56098,2.439024
2015-07-08 14:23:37.389,97.56098,2.439024
2015-07-08 14:23:49.186,97.56098,2.439024
2015-07-08 14:24:01.013,97.56098,2.439024
2015-07-08 14:24:12.838,97.56098,2.380952
2015-07-08 14:24:24.689,97.56098,2.325581
2015-07-08 14:24:36.403,97.56098,2.325581
2015-07-08 14:24:48.217,97.56098,2.325581
2015-07-08 14:24:59.983,97.56098,2.439024
2015-07-08 14:25:11.786,97.56098,2.439024
2015-07-08 14:25:23.630,97.56098,2.564103
2015-07-08 14:25:35.419,97.56098,2.564103
2015-07-08 14:25:47.185,97.56098,2.857143
2015-07-08 14:25:59.007,97.56098,2.857143
2015-07-08 14:26:10.843,97.56098,2.941176
2015-07-08 14:26:22.550,97.56098,2.564103
2015-07-08 14:26:34.428,97.56098,2.564103
2015-07-08 14:26:46.186,97.56098,2.5
2015-07-08 14:26:58.002,97.56098,2.380952
2015-07-08 14:27:09.810,97.56098,2.380952
2015-07-08 14:27:21.618,97.56098,2.564103
