date,C Palace,Stoke,The Draw
2014-12-13 16:43:57.824,9.090909,8.143502,82.51961
2014-12-13 16:44:18.611,8.333333,8.695652,83.26429
2014-12-13 16:44:39.256,8.333333,6.104062,86.15782
2014-12-13 16:45:00.545,9.090909,7.255985,84.84878
2014-12-13 16:45:21.225,8.91935,7.054761,84.95941
2014-12-13 16:45:42.055,9.090909,7.643996,85.97211
2014-12-13 16:46:03.008,7.692308,7.253149,85.53243
2014-12-13 16:46:24.642,7.692308,7.253149,86.67286
2014-12-13 16:46:45.706,7.692308,8.695652,87.24362
2014-12-13 16:47:06.649,6.684413,6.05622,88.12202
2014-12-13 16:47:27.632,5.268631,6.05622,89.28571
2014-12-13 16:47:48.642,4.79359,2.777778,90.77161
2014-12-13 16:48:09.525,4.79359,2.777778,91.67573
2014-12-13 16:48:30.423,4.79359,2.777778,90.85929
2014-12-13 16:48:51.351,4.79359,2.777778,92.01467
2014-12-13 16:49:11.975,4.79359,2.631579,92.59259
2014-12-13 16:49:32.580,4.79359,2.631579,93.45794
2014-12-13 16:49:53.183,2.631579,2.631579,94.07595
2014-12-13 16:50:13.864,2.631579,2.631579,94.3962
2014-12-13 16:50:34.598,2.631579,1.333333,97.08738
2014-12-13 16:51:01.172,1.666667,1.333333,97.92473
2014-12-13 16:51:22.053,1.666667,1.333333,97.87419
2014-12-13 16:51:50.133,1.666667,1.333333,97.87419
2014-12-13 16:52:10.976,1.666667,1.333333,97.87419
2014-12-13 16:52:31.772,1.666667,1.333333,97.87419
