date,C Palace,Stoke,The Draw
2014-12-13 16:05:14.191,734.4301,456.4477,182.9494
2014-12-13 16:05:35.918,36.31463,0,954.6468
2014-12-13 16:05:56.589,88.64497,87.07757,107.4247
2014-12-13 16:06:17.265,58.6475,34.82286,392.1924
2014-12-13 16:06:38.193,12.18459,9.288961,157.9123
2014-12-13 16:06:58.715,151.2717,0,0
2014-12-13 16:07:19.446,124.1329,144.7108,104.9732
2014-12-13 16:07:40.212,174.1118,28.1422,45.79609
2014-12-13 16:08:00.948,1448.863,0,58.27628
2014-12-13 16:08:21.655,2726.889,34.74169,1968.309
2014-12-13 16:08:42.476,12.65099,175.0102,479.412
2014-12-13 16:09:03.510,55.90926,58.9044,58.07717
2014-12-13 16:09:24.750,0,6.158124,630.332
2014-12-13 16:09:45.664,2.122958,1.692628,327.3945
2014-12-13 16:10:09.185,423.0202,214.2778,103.4656
2014-12-13 16:10:29.811,11.60696,39.7371,0
2014-12-13 16:10:50.452,23.05115,81.10053,84.2399
2014-12-13 16:11:11.307,44.5938,74.51481,98.04883
2014-12-13 16:11:32.137,0,0,2.419605
2014-12-13 16:11:53.333,90.69584,57.71811,25.61789
2014-12-13 16:12:14.019,56.67522,724.3058,184.528
2014-12-13 16:12:34.924,2.181306,4297.604,108.8357
2014-12-13 16:12:55.877,0,0,11.45439
2014-12-13 16:13:16.546,104.4743,46.41691,17.3882
2014-12-13 16:13:37.145,333.091,58.25306,13.86423
2014-12-13 16:13:57.764,76.44703,31.80685,296.8542
2014-12-13 16:14:18.412,581.1648,605.6609,108.0385
2014-12-13 16:14:39.204,195.7359,59.64708,52.77916
2014-12-13 16:14:59.787,226.3482,0,0
2014-12-13 16:15:20.386,58.25753,11.65151,112.2914
2014-12-13 16:15:41.356,0,9.070062,175.4213
2014-12-13 16:16:01.963,46.58521,0,18455.05
2014-12-13 16:16:22.570,1763.611,99.08484,179.564
2014-12-13 16:16:43.507,28.65639,5.731278,0
2014-12-13 16:17:04.415,539.9996,202.2021,370.0247
2014-12-13 16:17:24.986,46.25887,0,20.27107
2014-12-13 16:17:46.165,1275.404,279.2018,502.7049
2014-12-13 16:18:07.206,103.5416,83.18115,511.0351
2014-12-13 16:18:27.784,9.271978,314.9265,1.282915
2014-12-13 16:18:48.532,60.58261,9.195833,1198.061
2014-12-13 16:19:09.425,25.81774,423.3937,49.88367
2014-12-13 16:19:30.825,144.4495,228.45,243.4501
2014-12-13 16:19:51.692,28.75294,0,13.6864
2014-12-13 16:20:12.314,34.91415,52.37122,34.91415
2014-12-13 16:20:33.172,20.65386,0,517.7849
2014-12-13 16:21:03.359,130.7045,306.0704,823.4225
2014-12-13 16:21:24.015,19.02651,23.20943,384.8873
2014-12-13 16:21:44.616,17.47506,79.89014,713.361
2014-12-13 16:22:05.150,40.9064,63.08351,1159.317
2014-12-13 16:22:25.964,14.41383,2274.127,786.6201
2014-12-13 16:22:46.560,46.61082,33.50153,185.9772
2014-12-13 16:23:08.083,51.90544,2.926999,698.6049
2014-12-13 16:23:28.811,7.699904,13.57615,39.19425
2014-12-13 16:23:49.860,375.4914,28.93219,77.04799
2014-12-13 16:24:10.706,205.4182,29.06997,817.3841
2014-12-13 16:24:31.309,15.84285,67.56508,13239.38
2014-12-13 16:24:52.778,1136.345,151.4157,1962.089
2014-12-13 16:25:13.327,2564.707,16.40973,460.5236
2014-12-13 16:25:34.180,56.68292,0,43.21713
2014-12-13 16:25:55.118,6.247045,4.756924,1735.188
2014-12-13 16:26:15.763,36.73392,36.12362,200.2928
2014-12-13 16:26:36.335,349.6161,2828.516,790.8435
2014-12-13 16:26:56.931,14.71138,0,421.328
2014-12-13 16:27:17.537,95.01143,238.8534,2810.044
2014-12-13 16:27:38.173,25.20833,411.8814,418.2199
2014-12-13 16:27:58.917,36.87936,0,422.4784
2014-12-13 16:28:19.672,8.325636,584.1532,524.4573
2014-12-13 16:28:40.550,175.7654,27.35917,2245.809
2014-12-13 16:29:01.174,15.30209,1125.664,339.4389
2014-12-13 16:29:21.773,34.54594,62.39242,897.4372
2014-12-13 16:29:42.405,52.69587,0,90.93819
2014-12-13 16:30:03.004,62.62267,2336.933,1583.363
2014-12-13 16:30:44.196,197.9652,1418.879,1215.058
2014-12-13 16:31:15.658,325.6702,524.3678,3018.09
2014-12-13 16:31:36.351,488.3128,186.6729,275.399
