date,Arsenal,The Draw,Tottenham
2015-02-07 14:01:50.496,27.10019,44.93554,27.81241
2015-02-07 14:02:06.790,26.65696,45.32413,28.03717
2015-02-07 14:02:22.445,26.65026,44.81615,28.03444
2015-02-07 14:02:38.627,26.73936,44.92779,28.23132
2015-02-07 14:02:54.275,26.45265,45.07776,28.03154
2015-02-07 14:03:10.064,26.38169,45.48295,27.93849
2015-02-07 14:03:25.892,26.21977,45.53665,27.87514
2015-02-07 14:03:41.627,26.52002,45.93199,27.88756
2015-02-07 14:03:57.307,26.47614,46.05264,27.89825
2015-02-07 14:04:13.054,26.65855,45.81271,27.79906
2015-02-07 14:04:29.039,26.75605,46.10631,27.32726
2015-02-07 14:04:44.857,26.26275,46.13495,27.72167
2015-02-07 14:05:21.151,25.72302,46.38249,27.95675
2015-02-07 14:05:36.806,25.02877,46.38798,28.34514
2015-02-07 14:05:52.413,25.27835,46.69666,27.49136
2015-02-07 14:06:08.495,25.52627,47.15519,27.07304
2015-02-07 14:06:24.308,25.53284,46.77105,27.39634
2015-02-07 14:06:40.028,25.64286,46.67939,27.47102
2015-02-07 14:06:55.934,25.63918,47.44914,27.16381
2015-02-07 14:07:11.870,25.69557,47.82305,26.68815
2015-02-07 14:07:27.720,25.64724,47.49832,26.93367
2015-02-07 14:07:43.428,25.26522,47.85472,26.96431
2015-02-07 14:07:59.051,24.76232,47.69014,27.5317
2015-02-07 14:08:14.939,24.22192,47.94365,27.46943
2015-02-07 14:08:30.671,25.04517,48.39172,26.73796
2015-02-07 14:08:46.738,24.8027,48.47583,27.01929
2015-02-07 14:09:02.446,24.42524,48.65031,27.19893
2015-02-07 14:09:18.323,24.53163,48.91444,26.84486
2015-02-07 14:09:34.044,24.37128,48.95184,26.85643
2015-02-07 14:09:49.928,24.0774,49.47237,26.55025
2015-02-07 14:10:05.653,24.30283,49.85202,26.28475
2015-02-07 14:10:22.776,24.34312,49.96656,25.62792
2015-02-07 14:10:38.627,24.60501,49.93499,25.01217
2015-02-07 14:10:54.262,24.49158,50.49787,24.53372
2015-02-07 14:11:10.068,24.21939,50.8076,24.81759
2015-02-07 14:11:26.302,24.17641,50.93313,25.02411
2015-02-07 14:11:42.068,23.92135,50.89677,25.17174
2015-02-07 14:11:58.151,23.80952,51.17894,25.20393
2015-02-07 14:12:13.944,22.83101,51.46817,25.56952
2015-02-07 14:12:29.699,23.13234,51.68633,24.59537
2015-02-07 14:12:45.516,23.02399,51.81347,24.67511
2015-02-07 14:13:01.836,22.93483,52.4426,24.39024
2015-02-07 14:13:17.545,22.63223,52.32392,24.99236
2015-02-07 14:13:33.309,22.45129,52.39975,25.06349
2015-02-07 14:13:49.146,22.24735,52.85351,25.01562
2015-02-07 14:14:05.036,22.64694,53.0314,24.5874
2015-02-07 14:14:20.756,22.20371,52.83553,25.4638
2015-02-07 14:14:36.582,20.99485,52.92553,25.92119
2015-02-07 14:14:52.309,20.8788,52.61694,26.44167
2015-02-07 14:15:08.796,20.92624,52.95941,26.10788
2015-02-07 14:15:25.101,21.51313,53.2219,24.03525
2015-02-07 14:15:41.138,21.93171,54.93106,23.27255
2015-02-07 14:15:56.977,22.30939,55.24699,22.86874
2015-02-07 14:16:12.728,22.0178,55.78591,22.22222
2015-02-07 14:16:28.519,21.37898,56.29692,22.20929
2015-02-07 14:16:44.299,20.86457,56.82447,22.5447
2015-02-07 14:17:00.177,21.03122,56.94834,22.22494
2015-02-07 14:17:15.945,20.8595,57.44239,22.03301
2015-02-07 14:17:31.765,20.71006,57.79641,21.87538
2015-02-07 14:17:47.531,21.01861,58.24094,21.50465
2015-02-07 14:18:03.310,20.4103,58.30336,21.25509
2015-02-07 14:18:19.393,20.39519,58.29771,21.04717
2015-02-07 14:18:35.246,20.33776,58.05387,21.64626
2015-02-07 14:18:51.325,20.33338,58.16296,21.15789
2015-02-07 14:19:08.916,20.20017,58.27035,21.29332
2015-02-07 14:19:24.780,20.1395,58.38639,21.3039
2015-02-07 14:19:40.573,20.09442,58.79201,20.9865
2015-02-07 14:19:56.435,20.09688,59.16125,20.58498
2015-02-07 14:20:12.191,20.27855,59.52381,20.33978
2015-02-07 14:20:27.936,19.84179,60.49127,20.3335
2015-02-07 14:20:43.812,19.69079,60.88378,19.67349
2015-02-07 14:20:59.833,19.04229,61.11237,19.66876
2015-02-07 14:21:15.598,18.51852,61.8888,19.38027
2015-02-07 14:21:31.468,18.38848,62.39459,19.43255
2015-02-07 14:21:47.318,18.59276,62.34651,19.56507
