DENI,School_name,age,School_type,Management_type,year,Address,Postcode,Town,Protestant,Catholic,Other,Protestant_number,Catholic_number,Other_number,Total,Percentage_Protestant,Percentage_Catholic,Percentage_Other
2032676,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,84,4,92.0,4.34782608696,91.3043478261,4.34782608696
2032677,Drumlish Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,0,>=5,<5,0,45,4,49.0,0.0,91.8367346939,8.16326530612
2032679,St Columba's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,19,4,27.0,14.8148148148,70.3703703704,14.8148148148
2032680,St Mary's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,0,4,17,0,21.0,19.0476190476,80.9523809524,0.0
2032681,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,0,>=5,<5,0,71,4,75.0,0.0,94.6666666667,5.33333333333
2032682,St Eugene's Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,29,4,37.0,10.8108108108,78.3783783784,10.8108108108
2032683,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,58,4,66.0,6.06060606061,87.8787878788,6.06060606061
2032684,St Laurence's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,191,4,199.0,2.01005025126,95.9798994975,2.01005025126
2032685,St Brigid's Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,0,>=5,<5,0,30,4,34.0,0.0,88.2352941176,11.7647058824
2032687,St Macartan's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,47,4,55.0,7.27272727273,85.4545454545,7.27272727273
2032688,St Eugene's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,13,4,21.0,19.0476190476,61.9047619048,19.0476190476
2032689,St Mary's Boys Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,474,4,482.0,0.829875518672,98.3402489627,0.829875518672
2032694,St Caireall's Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,137,4,145.0,2.75862068966,94.4827586207,2.75862068966
2032700,St Joseph's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,113,4,121.0,3.30578512397,93.3884297521,3.30578512397
2032702,Evish Primary School,Primary,Primary,RC Maintained,1998,,,Strabane,<5,>=5,<5,4,48,4,56.0,7.14285714286,85.7142857143,7.14285714286
2032704,Recarson Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,141,4,149.0,2.68456375839,94.6308724832,2.68456375839
2032705,St Patrick's Primary School,Primary,Primary,RC Maintained,1998,,,Omagh,<5,>=5,<5,4,73,4,81.0,4.93827160494,90.1234567901,4.93827160494
