date,Denver Broncos,Indianapolis Colts
2015-01-11 23:38:16.213,745.4407,1411.921
2015-01-11 23:38:32.065,7630.02,6236.777
2015-01-11 23:38:47.823,85.40827,41.92354
2015-01-11 23:39:04.049,4159.896,27375.63
2015-01-11 23:39:19.874,1759.036,38150.91
2015-01-11 23:39:35.654,502.4617,20543.02
2015-01-11 23:39:51.447,9925.479,61479.41
2015-01-11 23:40:07.249,22924.9,20447.41
2015-01-11 23:40:23.109,2052.562,17515.25
2015-01-11 23:40:38.811,2255.481,38110.54
2015-01-11 23:40:55.013,874.9799,87248.91
2015-01-11 23:41:10.836,1690.078,206826.5
2015-01-11 23:41:26.701,952.9161,52098.53
2015-01-11 23:41:42.495,671.1998,94859.13
2015-01-11 23:41:58.228,109880.3,11690.13
2015-01-11 23:42:14.029,1693.482,31833.67
2015-01-11 23:42:30.386,1025.309,30690.37
2015-01-11 23:42:46.226,1079.387,13879.65
2015-01-11 23:43:02.053,12153.43,29032.47
2015-01-11 23:43:19.726,747.1052,22030.71
2015-01-11 23:43:36.098,1911.231,3768.259
2015-01-11 23:43:51.797,10060.17,32793.38
2015-01-11 23:44:07.718,576.8368,7015.506
2015-01-11 23:44:23.403,8114.692,2417.852
2015-01-11 23:44:39.408,10771.85,4401.408
2015-01-11 23:44:55.297,13428.93,24054.14
2015-01-11 23:45:11.593,585.7527,17789.11
2015-01-11 23:45:32.762,616.9134,6536.079
2015-01-11 23:47:09.562,2166.991,21451.61
2015-01-11 23:47:25.321,2654.026,13958.81
2015-01-11 23:47:41.098,7405.317,23917.18
2015-01-11 23:47:56.810,1461.948,4190.933
2015-01-11 23:48:12.591,456.241,5377.066
2015-01-11 23:48:28.441,1049.264,3786.843
2015-01-11 23:48:44.545,29.09706,1122.752
2015-01-11 23:49:00.214,2162.853,24351.12
2015-01-11 23:49:16.334,2858.198,5877.077
2015-01-11 23:49:32.026,1071.593,3485.945
2015-01-11 23:49:47.905,2143.938,3345.191
2015-01-11 23:50:03.597,941.7922,5473.682
2015-01-11 23:50:20.237,168.3191,11470.87
2015-01-11 23:50:36.102,717.577,4023.446
2015-01-11 23:50:51.873,173.0981,15554.22
2015-01-11 23:51:07.611,525.5465,55650.43
2015-01-11 23:51:23.428,46.81269,35085.73
2015-01-11 23:51:39.290,891.7867,7025.246
2015-01-11 23:51:55.371,758.5196,21251.05
2015-01-11 23:52:10.990,167.0643,7549.933
2015-01-11 23:52:27.479,232.5582,22212.09
2015-01-11 23:52:43.211,1143.847,24488.88
2015-01-11 23:52:59.186,0,15360.25
2015-01-11 23:53:15.394,696.5588,17535.31
2015-01-11 23:53:31.266,0,7043.559
2015-01-11 23:53:47.007,40.63409,9639.314
2015-01-11 23:54:02.858,3824.327,14463.09
2015-01-11 23:54:19.045,946.4375,10531.43
2015-01-11 23:54:34.876,912.547,5038.736
2015-01-11 23:54:50.884,19418.54,29687.5
2015-01-11 23:55:06.627,1592.724,7531.699
2015-01-11 23:55:22.744,261.9022,6602.17
2015-01-11 23:55:38.438,1269.875,14645.35
2015-01-11 23:55:54.243,741.9516,2834.297
2015-01-11 23:56:10.078,778.0585,2855.786
2015-01-11 23:56:25.876,794.601,23821.77
2015-01-11 23:56:41.595,381.7026,15480.64
2015-01-11 23:56:57.604,1333.479,3703.167
2015-01-11 23:57:13.498,0,1683.612
2015-01-11 23:57:29.319,186.6713,9162.786
2015-01-11 23:57:45.027,1351.17,18306.61
2015-01-11 23:58:01.167,8.17816,12181.44
2015-01-11 23:58:16.781,232.8733,4050.036
2015-01-11 23:58:33.257,54.87951,343.7708
2015-01-11 23:58:48.997,168.759,708.8868
2015-01-11 23:59:04.835,974.9999,3282.276
2015-01-11 23:59:20.834,91.3571,16352.25
2015-01-11 23:59:36.726,691.3326,12169.66
2015-01-11 23:59:52.381,153.3069,3314.113
2015-01-12 00:00:08.055,0,2605.732
2015-01-12 00:00:23.793,310.4463,825.5821
2015-01-12 00:00:39.673,291.2236,7380.977
2015-01-12 00:00:55.427,114.2599,5009.687
2015-01-12 00:01:11.202,2069.141,10877.79
2015-01-12 00:01:27.566,1031.504,24884.64
2015-01-12 00:01:47.415,0,4757.709
2015-01-12 00:02:03.207,12.61469,11995.65
2015-01-12 00:02:19.022,4028.871,19278.97
2015-01-12 00:02:35.450,18.29761,11651.6
2015-01-12 00:02:51.336,0,14586.33
2015-01-12 00:03:07.264,109.2404,4136.069
2015-01-12 00:03:23.224,225.5666,14963.33
2015-01-12 00:03:39.483,298.1618,13360.89
2015-01-12 00:03:55.214,107.4868,15779.5
2015-01-12 00:04:11.603,1224.5,16891.83
2015-01-12 00:04:27.915,2170.787,7057.32
2015-01-12 00:04:43.684,951.1789,9333.34
2015-01-12 00:04:59.819,655.4608,14147.29
2015-01-12 00:05:15.659,176.8168,501.3219
