date,Aston Villa,The Draw,West Brom
2014-12-13 16:02:15.021,93.81299,5.803464,181.3292
2014-12-13 16:02:35.736,23.17173,57.92932,39.97123
2014-12-13 16:02:56.369,103.3761,276.7454,534.793
2014-12-13 16:03:17.046,34.82136,91.63821,330.4257
2014-12-13 16:03:37.838,194.7254,340.8272,7941.438
2014-12-13 16:03:58.606,670.2573,11.55616,7003.899
2014-12-13 16:04:19.268,635.3687,73.41342,694.0007
2014-12-13 16:04:40.143,269.5667,491.0201,1980.348
2014-12-13 16:05:00.894,24.0277,222.7839,1028.97
2014-12-13 16:05:21.606,142.467,175.1434,1469.542
2014-12-13 16:05:42.294,174.4797,567.958,1168.283
2014-12-13 16:06:03.026,12.41599,360.0347,1958.542
2014-12-13 16:06:23.779,132.2124,71.41148,88.29581
2014-12-13 16:06:44.707,98.44903,143.0005,198.1595
2014-12-13 16:07:05.908,22.72572,389.3938,1228.236
2014-12-13 16:07:27.136,36.79977,511.6073,646.1441
2014-12-13 16:07:48.187,184.2955,239.4474,331.8516
2014-12-13 16:08:08.996,64.81826,210.198,77.36094
2014-12-13 16:08:29.538,201.7729,3627.092,514.7428
2014-12-13 16:08:50.386,53.32996,986.9928,206.9018
2014-12-13 16:09:11.559,180.538,1227.806,1453.542
2014-12-13 16:09:32.422,130.9377,678.7881,1892.198
2014-12-13 16:09:53.554,295.4847,385.4617,1095.057
2014-12-13 16:10:20.080,32.93435,64.1496,246.8493
2014-12-13 16:10:46.315,460.1703,1564.318,8223.603
2014-12-13 16:11:07.348,179.9424,77.96173,5713.143
2014-12-13 16:11:28.287,242.7692,421.8947,93.24494
2014-12-13 16:11:49.422,101.9721,458.1081,1012.738
2014-12-13 16:12:10.167,143.1658,769.1038,1027.207
2014-12-13 16:12:30.834,61.83657,2644.254,141.0338
2014-12-13 16:12:51.587,34.98454,98.188,382.806
2014-12-13 16:13:12.129,237.2809,33.88058,119.8964
2014-12-13 16:13:32.740,24.21994,253.2613,338.1185
2014-12-13 16:13:53.763,122.009,76.20214,666.2122
2014-12-13 16:14:14.358,35.39717,735.7368,1019.176
2014-12-13 16:14:36.177,405.7783,685.6928,1065.402
2014-12-13 16:14:56.791,18.57011,110.2273,327.4218
2014-12-13 16:15:17.383,280.9116,1009.37,2027.045
2014-12-13 16:15:38.164,14.95571,42.84609,409.0012
2014-12-13 16:15:58.976,157.3858,864.0509,151.3603
2014-12-13 16:16:19.750,11.37963,0,86.6469
2014-12-13 16:16:40.356,142.2082,259.4047,4345.968
2014-12-13 16:17:00.954,97.52575,60.58947,724.685
2014-12-13 16:17:21.559,168.5688,12813.62,280.5598
2014-12-13 16:17:42.120,206.5713,5939.442,7039.006
2014-12-13 16:18:02.732,11.644,46.69246,655.3246
2014-12-13 16:18:23.377,715.0048,34.96264,11.62515
2014-12-13 16:18:44.888,102.7284,599.2166,54.05584
2014-12-13 16:19:05.890,20.48383,1115.64,191.1824
2014-12-13 16:19:26.584,5.682793,117.0192,28.99384
2014-12-13 16:19:47.868,46.1473,560.3922,2271.93
2014-12-13 16:20:08.769,36.8592,905.4618,363.7693
2014-12-13 16:20:29.762,4.773029,251.1128,2862.674
2014-12-13 16:21:00.425,91.96886,279.5462,815.3333
2014-12-13 16:21:21.417,201.8445,1922.582,699.0244
2014-12-13 16:21:42.291,25.75488,60.36299,5762.481
2014-12-13 16:22:03.024,40.16798,239.8214,2793.498
2014-12-13 16:22:23.774,296.2039,997.5049,1395.489
2014-12-13 16:22:44.307,112.8259,400.4283,2043.958
2014-12-13 16:23:04.928,286.4283,7322.717,3641.282
2014-12-13 16:23:25.537,131.1815,405.1313,6810.578
2014-12-13 16:23:46.127,193.8111,2449.549,554.4786
2014-12-13 16:24:07.176,137.167,2608.282,8919.587
2014-12-13 16:24:27.744,57.32261,1385.136,2642.616
2014-12-13 16:24:48.416,25.80326,2408.875,3273.182
2014-12-13 16:25:08.939,114.9811,195.5235,619.2258
2014-12-13 16:25:29.672,99.14592,1017.099,2582.8
2014-12-13 16:25:50.587,70.54437,560.396,2992.957
2014-12-13 16:26:11.149,186.6596,3197.491,2274.989
2014-12-13 16:26:31.757,405.5193,6947.371,3545.179
2014-12-13 16:26:52.896,36.52987,1513.932,1923.793
2014-12-13 16:27:13.881,60.47188,1380.675,112.0803
2014-12-13 16:27:34.637,52.81275,83.02037,492.9479
2014-12-13 16:27:55.781,106.0722,2145.253,3241.673
2014-12-13 16:28:16.361,18.42604,464.9369,3725.705
2014-12-13 16:28:37.099,46.29074,432.6159,2211.713
2014-12-13 16:28:57.739,83.08124,6329.843,2359.763
2014-12-13 16:29:19.070,57.54979,86.21218,743.0562
2014-12-13 16:29:39.719,180.68,65.03085,458.0636
2014-12-13 16:30:00.595,373.9735,3449.512,36164.12
2014-12-13 16:30:21.181,162.1453,2514.957,37947.74
2014-12-13 16:30:45.645,100.4786,3669.396,13553.95
2014-12-13 16:31:17.257,52.15797,1260.484,45963.34
2014-12-13 16:31:38.358,80.1881,1842.592,24964.55
2014-12-13 16:32:00.709,94.75924,167.5064,31257.74
2014-12-13 16:32:21.417,66.64103,209.5136,4565.23
2014-12-13 16:32:42.233,3.602928,110.0478,48986.5
2014-12-13 16:33:02.984,39.09168,405.634,7026.295
2014-12-13 16:33:23.763,101.3259,849.5032,34869.1
2014-12-13 16:33:44.333,9.246461,148.4392,4041.462
2014-12-13 16:34:04.979,52.65809,856.5077,1734.143
2014-12-13 16:34:25.689,31.63808,356.1312,2021.129
2014-12-13 16:34:46.457,274.4009,716.0192,2940.665
2014-12-13 16:35:07.566,60.82782,72.82284,662.7959
2014-12-13 16:35:28.132,221.9791,1337.009,46344.2
2014-12-13 16:35:48.803,34.59927,186.3194,20096.69
2014-12-13 16:36:09.368,377.8557,38.27864,1213.917
2014-12-13 16:36:29.910,210.9473,31.42887,98.4927
2014-12-13 16:36:50.541,203.8633,106.5266,5965.314
2014-12-13 16:37:11.772,14.13033,189.8834,1793.026
2014-12-13 16:37:33.681,112.858,288.6491,32875.74
2014-12-13 16:37:54.449,40.21533,97.99597,14290.05
2014-12-13 16:38:15.413,32.51406,37.12212,2932.447
2014-12-13 16:38:36.349,11.4348,152.7792,670.0963
2014-12-13 16:38:57.148,101.8285,238.7922,4312.741
2014-12-13 16:39:17.747,197.1374,14.56394,2584.487
2014-12-13 16:39:38.352,68.51918,57.94865,110.8304
2014-12-13 16:39:58.932,30.0284,543.339,1277.81
2014-12-13 16:40:19.549,1.484227,108.174,3036.205
2014-12-13 16:40:40.424,17.76282,149.9205,16701.45
2014-12-13 16:41:01.205,1.472524,11.54921,11273.67
2014-12-13 16:41:33.966,21.51946,96.82839,8715.16
2014-12-13 16:41:54.705,19.84603,52.59488,3763.803
2014-12-13 16:42:15.573,11.47233,11.47233,473.4422
2014-12-13 16:42:36.532,5.582273,40.07786,1459.893
2014-12-13 16:42:57.541,3.284385,4.45534,599.7573
2014-12-13 16:43:18.538,4.000603,41.06334,478.0721
2014-12-13 16:43:39.238,0,11.59388,566.9988
2014-12-13 16:44:00.106,32.28967,35.22248,6180.036
2014-12-13 16:44:20.762,0.7842687,13.30352,6717.987
2014-12-13 16:44:42.032,14.92226,76.72695,5356.331
2014-12-13 16:45:02.756,37.84081,85.98868,1084.905
2014-12-13 16:45:23.480,0,0,6029.441
2014-12-13 16:45:44.376,0,11.48551,2456.809
2014-12-13 16:46:06.030,24.96559,340.5684,6815.302
2014-12-13 16:46:27.269,7.175521,106.1638,8153.2
2014-12-13 16:46:47.987,3.011829,78.2786,1338.382
2014-12-13 16:47:09.532,0.9468757,173.0555,1324.066
2014-12-13 16:47:30.474,0.2865052,16.64595,2511.562
2014-12-13 16:47:51.280,0,0,2293.247
2014-12-13 16:48:11.956,0,4.875119,2037.626
