date,Aston Villa,The Draw,West Brom
2014-12-13 16:03:17.046,10.10441,35.46099,54.65005
2014-12-13 16:03:37.838,10.70296,34.38322,54.74326
2014-12-13 16:03:58.606,10.85736,34.72222,54.64481
2014-12-13 16:04:19.268,10.86957,34.72222,54.78347
2014-12-13 16:04:40.143,10.89745,34.6451,54.35029
2014-12-13 16:05:00.894,10.98422,34.52222,54.28368
2014-12-13 16:05:21.606,11.01569,34.50267,54.07902
2014-12-13 16:05:42.294,10.69671,35.44794,54.34783
2014-12-13 16:06:03.026,10.98085,34.52947,53.70951
2014-12-13 16:06:23.779,11.2024,35.61747,53.47594
2014-12-13 16:06:44.707,10.78287,35.64966,53.92034
2014-12-13 16:07:05.908,10.72526,35.71429,53.77923
2014-12-13 16:07:27.136,10.66147,35.93453,53.47791
2014-12-13 16:07:48.187,10.76859,35.96217,53.47594
2014-12-13 16:08:08.996,10.23633,35.97694,53.47594
2014-12-13 16:08:29.538,10.42295,35.97694,52.94878
2014-12-13 16:08:50.386,10.73693,36.76471,52.94878
2014-12-13 16:09:11.559,10.97173,37.03663,52.94878
2014-12-13 16:09:32.422,10.80313,37.91935,51.49024
2014-12-13 16:09:53.554,10.6383,38.73271,50.51019
2014-12-13 16:10:20.080,10.63224,39.16729,50.84538
2014-12-13 16:10:46.315,10.56714,39.68254,50.0057
2014-12-13 16:11:07.348,10.25031,39.68254,49.50495
2014-12-13 16:11:28.287,10.00945,40.59526,50
2014-12-13 16:11:49.422,10.04355,40.33369,50.01405
2014-12-13 16:12:10.167,9.744094,40.65041,49.83675
2014-12-13 16:12:30.834,9.594967,40.65041,50.08175
2014-12-13 16:12:51.587,9.52381,40.98361,49.8141
2014-12-13 16:13:12.129,9.382579,40.98361,49.41734
2014-12-13 16:13:32.740,9.656453,40.98361,49.18417
2014-12-13 16:13:53.763,9.564293,40.65041,49.04074
2014-12-13 16:14:14.358,9.572582,41.66667,49.31278
2014-12-13 16:14:36.177,9.49901,41.82074,49.15435
2014-12-13 16:14:56.791,9.52381,42.01681,49.50495
2014-12-13 16:15:17.383,9.600629,42.00653,48.55057
2014-12-13 16:15:38.164,10.07782,42.01681,48.50593
2014-12-13 16:15:58.976,10,42.73504,47.61905
2014-12-13 16:16:19.750,9.709216,42.73504,48.07692
2014-12-13 16:16:40.356,9.692207,43.10345,47.95939
2014-12-13 16:17:00.954,9.965828,43.10345,48.2605
2014-12-13 16:17:21.559,10,43.10145,47.33597
2014-12-13 16:17:42.120,9.764811,43.09611,47.25598
2014-12-13 16:18:02.732,10,43.47826,47.2789
2014-12-13 16:18:23.377,9.982633,43.47826,46.2963
2014-12-13 16:18:44.888,9.931373,43.86998,46.36652
2014-12-13 16:19:05.890,9.783721,44.24779,46.3347
2014-12-13 16:19:26.584,9.090909,44.64286,46.2963
2014-12-13 16:19:47.868,9.177295,44.61132,45.69146
2014-12-13 16:20:08.769,9.090909,44.52955,46.03112
2014-12-13 16:20:29.762,9.090909,45.10494,45.53733
2014-12-13 16:21:00.425,9.246575,45.87156,45.07138
2014-12-13 16:21:21.417,8.72121,46.2963,44.79696
2014-12-13 16:21:42.291,9.090909,46.72897,44.24562
2014-12-13 16:22:03.024,9.037635,47.07113,44.17868
2014-12-13 16:22:23.774,8.747406,47.33538,44.06104
2014-12-13 16:22:44.307,8.767826,47.17631,44.12884
2014-12-13 16:23:04.928,8.936528,47.43981,43.61456
2014-12-13 16:23:25.537,9.038573,47.61905,43.41435
2014-12-13 16:23:46.127,9.045042,48.91619,42.83276
2014-12-13 16:24:07.176,8.606135,49.01961,42.54778
2014-12-13 16:24:27.744,8.331037,50.10384,42.17043
2014-12-13 16:24:48.416,8.595601,50.38735,41.34761
2014-12-13 16:25:08.939,8.192081,50.39397,41.26392
2014-12-13 16:25:29.672,7.692308,51.28205,41.2737
2014-12-13 16:25:50.587,8.667301,51.61648,40.98361
2014-12-13 16:26:11.149,8.758574,51.74927,40.01612
2014-12-13 16:26:31.757,8.846517,51.92581,39.45747
2014-12-13 16:26:52.896,8.42002,52.08323,39.92668
2014-12-13 16:27:13.881,8.005905,52.62639,39.11044
2014-12-13 16:27:34.637,8,52.63158,39.36644
2014-12-13 16:27:55.781,7.317604,52.78913,39.45865
2014-12-13 16:28:16.361,7.9,53.84969,39.15545
2014-12-13 16:28:37.099,7.729469,53.71288,38.52693
2014-12-13 16:28:57.739,7.184063,53.99842,38.95213
