date,Gael Monfils,Roger Federer
2014-11-21 17:00:52.848,78146.52,2872.04
2014-11-21 17:01:08.961,102846.1,408.8764
2014-11-21 17:01:24.667,38502.99,130.9544
2014-11-21 17:01:40.341,47461.73,1869.974
2014-11-21 17:01:55.999,30071.25,1635.844
2014-11-21 17:02:12.129,10534.69,5109.148
2014-11-21 17:02:27.881,23457.9,872.3298
2014-11-21 17:02:44.443,72911.38,2193.679
2014-11-21 17:03:00.397,9476.79,136.3315
2014-11-21 17:03:16.254,79575.61,4490.732
2014-11-21 17:03:31.998,4695.81,1534.492
2014-11-21 17:03:47.977,36753.95,2397.547
2014-11-21 17:04:03.822,4107.46,136.7424
2014-11-21 17:04:21.403,3587.434,602.4162
2014-11-21 17:04:37.231,59603.82,222.9671
2014-11-21 17:04:53.417,6469.196,1810.171
2014-11-21 17:05:09.176,66513.6,5987.041
2014-11-21 17:05:25.255,44358.71,633.6553
2014-11-21 17:05:41.191,25574.49,90.36311
2014-11-21 17:05:56.992,14978.8,79.96854
2014-11-21 17:06:17.911,19448.46,94.07973
2014-11-21 17:06:35.079,18567.54,497.4654
2014-11-21 17:06:51.549,50341.29,128.9595
2014-11-21 17:07:07.258,57689.01,426.5247
2014-11-21 17:07:23.574,58004.45,5577.961
2014-11-21 17:07:39.408,71589.21,556.7684
2014-11-21 17:07:55.184,5190.596,0
2014-11-21 17:08:10.975,34080.21,15.76924
2014-11-21 17:08:26.787,104993.9,125.6695
2014-11-21 17:08:42.597,36952.55,130.8191
2014-11-21 17:08:58.470,6058.075,0
2014-11-21 17:09:14.559,63027.47,106.1766
2014-11-21 17:09:30.151,14810.92,1389.391
2014-11-21 17:09:46.055,29297.3,1755.898
2014-11-21 17:10:01.954,15695.52,1307.171
2014-11-21 17:10:17.597,7660.547,906.5382
2014-11-21 17:10:33.343,4889.897,363.2519
2014-11-21 17:10:48.982,29242.7,1839.455
2014-11-21 17:11:04.737,27532.81,469.6894
2014-11-21 17:11:20.340,11461.14,138.326
2014-11-21 17:11:48.204,15988.11,628.8629
2014-11-21 17:12:03.965,25777.75,149.0767
2014-11-21 17:12:19.592,8645.486,1845.125
2014-11-21 17:12:35.669,29906.14,718.6798
2014-11-21 17:12:52.310,3276.723,24.48087
2014-11-21 17:13:07.961,38130.51,390.7959
2014-11-21 17:13:23.671,68628.61,3445.434
