date,Gael Monfils,Roger Federer
2014-11-21 16:38:17.945,49.46855,50.75767
2014-11-21 16:38:33.640,49.70132,49.64031
2014-11-21 16:38:49.480,51.45619,48.5258
2014-11-21 16:39:05.355,51.56161,49.59057
2014-11-21 16:39:21.274,51.56161,47.61905
2014-11-21 16:39:36.918,54.47472,44.65097
2014-11-21 16:39:53.203,55.0012,45.1337
2014-11-21 16:40:09.244,54.42346,45.63498
2014-11-21 16:40:24.974,54.75712,45.34193
2014-11-21 16:40:40.784,54.95196,45.04738
2014-11-21 16:40:56.526,54.899,45.29826
2014-11-21 16:41:12.616,54.64481,45.45455
2014-11-21 16:41:28.536,54.48841,45.46633
2014-11-21 16:41:44.436,54.45922,45.34577
2014-11-21 16:42:00.148,55.12856,45.00461
2014-11-21 16:42:15.940,54.9222,45.11503
2014-11-21 16:42:31.687,54.99184,45.27909
2014-11-21 16:42:47.503,55.21662,44.97929
2014-11-21 16:43:03.139,55.23822,44.97764
2014-11-21 16:43:18.768,55.55556,44.64286
2014-11-21 16:43:34.714,56.11546,44.24779
2014-11-21 16:43:50.753,57.09858,43.42834
2014-11-21 16:44:06.416,57.14286,42.94388
2014-11-21 16:44:22.168,57.80157,42.51828
2014-11-21 16:44:37.875,57.72561,42.48238
2014-11-21 16:44:53.608,57.74979,42.42675
2014-11-21 16:45:09.461,56.35261,43.23545
2014-11-21 16:45:25.160,56.60773,43.53808
2014-11-21 16:45:40.864,55.23546,44.93097
2014-11-21 16:45:56.803,55.18362,44.81111
2014-11-21 16:46:12.582,54.70224,45.39423
2014-11-21 16:46:28.565,51.22575,51.02053
2014-11-21 16:46:44.201,53.07883,50.77097
2014-11-21 16:47:00.823,54.11675,46.73995
2014-11-21 16:47:16.554,54.69403,45.69602
2014-11-21 16:47:32.318,53.58146,45.64457
2014-11-21 16:47:48.056,53.25526,47.29121
2014-11-21 16:48:03.750,53.69875,46.72761
2014-11-21 16:48:19.433,53.78571,46.47669
2014-11-21 16:48:35.598,54.30152,46.70969
2014-11-21 16:48:51.425,55.25605,45.38661
2014-11-21 16:49:07.217,55.26651,44.92851
2014-11-21 16:49:22.914,54.95106,45.45455
2014-11-21 16:49:38.683,55.67041,43.90465
2014-11-21 16:49:54.390,56.51439,43.81248
2014-11-21 16:50:10.444,56.51759,43.5919
2014-11-21 16:50:26.272,57.08611,42.96989
2014-11-21 16:50:41.955,56.48048,43.10345
2014-11-21 16:50:57.630,56.50035,43.47826
2014-11-21 16:51:20.056,56.59491,43.21361
2014-11-21 16:51:35.729,57.02098,42.91148
2014-11-21 16:51:51.288,57.3489,42.44034
